Row,Year,Data Type,Water Components
1,2003,"ET",1.327
2,2004,"ET",0.4622
3,2005,"ET",-0.7384
4,2006,"ET",0.4203
5,2007,"ET",0.193
6,2008,"ET",-0.1358
7,2009,"ET",-1.989
8,2010,"ET",-1.037
9,2011,"ET",-1.152
10,2012,"ET",-1.498
11,2013,"ET",0.798
12,2014,"ET",-0.8547
13,2015,"ET",0.3523
14,2016,"ET",0.1949
15,2017,"ET",0.4611
16,2018,"ET",0.6459
17,2019,"ET",-0.02871
18,2020,"ET",2.579
