Zip,Month,Number of Tarps
70003,09/2021,3
70094,09/2021,5
70001,09/2021,5
70114,09/2021,12
70119,09/2021,5
70117,09/2021,2
70113,09/2021,0
70130,09/2021,1
70112,09/2021,0
70003,10/2021,995
70094,10/2021,771
70001,10/2021,378
70114,10/2021,72
70119,10/2021,144
70117,10/2021,47
70113,10/2021,38
70130,10/2021,38
70112,10/2021,9
70003,12/2021,2112
70094,12/2021,2068
70001,12/2021,1066
70114,12/2021,350
70119,12/2021,825
70117,12/2021,425
70113,12/2021,160
70130,12/2021,171
70112,12/2021,51
70003,1/2022,1562
70094,1/2022,1746
70001,1/2022,1015
70114,1/2022,555
70119,1/2022,883
70117,1/2022,543
70113,1/2022,181
70130,1/2022,213
70112,1/2022,102
70003,02/2022,1442
70094,02/2022,1646
70001,02/2022,870
70114,02/2022,632
70119,02/2022,645
70117,02/2022,543
70113,02/2022,166
70130,02/2022,169
70112,02/2022,38
70003,03/2022,490
70094,03/2022,791
70001,03/2022,440
70114,03/2022,414
70119,03/2022,451
70117,03/2022,377
70113,03/2022,121
70130,03/2022,137
70112,03/2022,23
