date,source,SSH (m)
04/1995,steric,0.387061
05/1995,total,0.711396
05/1995,barystatic,0.346449
05/1995,steric,0.364947
05/1995,total,0.670573
05/1995,barystatic,0.283547
05/1995,steric,0.387026
06/1995,total,0.767169
06/1995,barystatic,0.381587
06/1995,steric,0.385582
06/1995,total,0.670871
06/1995,barystatic,0.283879
06/1995,steric,0.386992
07/1995,total,0.815908
07/1995,barystatic,0.407536
07/1995,steric,0.408372
07/1995,total,0.671169
07/1995,barystatic,0.284212
07/1995,steric,0.386957
08/1995,total,0.775138
08/1995,barystatic,0.347493
08/1995,steric,0.427645
08/1995,total,0.671466
08/1995,barystatic,0.284544
08/1995,steric,0.386922
09/1995,total,0.743088
09/1995,barystatic,0.299506
09/1995,steric,0.443581
09/1995,total,0.671764
09/1995,barystatic,0.284877
09/1995,steric,0.386888
10/1995,total,0.737109
10/1995,barystatic,0.285830
10/1995,steric,0.451280
10/1995,total,0.672062
10/1995,barystatic,0.285209
10/1995,steric,0.386853
11/1995,total,0.817299
11/1995,barystatic,0.377229
11/1995,steric,0.440069
11/1995,total,0.672359
11/1995,barystatic,0.285541
11/1995,steric,0.386818
12/1995,total,0.726030
12/1995,barystatic,0.323589
12/1995,steric,0.402441
12/1995,total,0.672657
12/1995,barystatic,0.285874
12/1995,steric,0.386783
01/1996,total,0.526935
01/1996,barystatic,0.157902
01/1996,steric,0.369033
01/1996,total,0.672955
01/1996,barystatic,0.286206
01/1996,steric,0.386749
02/1996,total,0.496411
02/1996,barystatic,0.153909
02/1996,steric,0.342502
02/1996,total,0.673252
02/1996,barystatic,0.286539
02/1996,steric,0.386714
03/1996,total,0.534372
03/1996,barystatic,0.185976
03/1996,steric,0.348396
03/1996,total,0.673550
03/1996,barystatic,0.286871
03/1996,steric,0.386679
04/1996,total,0.568623
04/1996,barystatic,0.207679
04/1996,steric,0.360944
04/1996,total,0.673848
04/1996,barystatic,0.287203
04/1996,steric,0.386644
05/1996,total,0.732240
05/1996,barystatic,0.357496
05/1996,steric,0.374744
05/1996,total,0.674145
05/1996,barystatic,0.287536
05/1996,steric,0.386610
06/1996,total,0.747470
06/1996,barystatic,0.355922
06/1996,steric,0.391548
