date,type,TWS
Mar-2019,TWS,-73.1044
Apr-2019,TWS,-102.5746
May-2019,TWS,-82.4654
Jun-2019,TWS,-143.5021
Jul-2019,TWS,-121.0538
Aug-2019,TWS,-131.026
Sep-2019,TWS,-164.09
Oct-2019,TWS,-84.4802
Nov-2019,TWS,-70.5958
Dec-2019,TWS,-48.7985
Jan-2020,TWS,-41.2687
Feb-2020,TWS,-43.5637
Mar-2020,TWS,-55.5142
Apr-2020,TWS,-97.1382
May-2020,TWS,-58.564
Jun-2020,TWS,25.5556
Jul-2020,TWS,48.7569
Aug-2020,TWS,-11.1795
Sep-2020,TWS,-48.8039
Oct-2020,TWS,-6.0629
Nov-2020,TWS,-56.5854
Dec-2020,TWS,-67.5696
Jan-2021,TWS,-79.621
Feb-2021,TWS,-114.8521
Mar-2021,TWS,-137.0907
Apr-2021,TWS,-152.8228
May-2021,TWS,-148.4585
Jun-2021,TWS,-68.0554
Jul-2021,TWS,-131.657
Aug-2021,TWS,-100.5034
Sep-2021,TWS,-141.3198
Oct-2021,TWS,-88.5466
Nov-2021,TWS,-78.462
Dec-2021,TWS,-79.567
Jan-2022,TWS,-57.2656
Feb-2022,TWS,-43.1058
Mar-2022,TWS,-65.9422
Apr-2022,TWS,-58.2686
May-2022,TWS,-16.2234
Jun-2022,TWS,-14.0608
Jul-2022,TWS,-174.5918
