Percent-change,Period,Elevation
-72.79693486590038,0.0,500.0
-53.48360655737705,0.0,578.9473684210526
-27.01062215477997,0.0,657.8947368421052
-38.095238095238095,0.0,736.8421052631579
-45.77936578829835,0.0,815.7894736842105
-31.95084485407066,0.0,894.7368421052631
-14.921323928377646,0.0,973.6842105263158
-8.763268328807701,0.0,1052.6315789473683
-8.059834784550123,0.0,1131.578947368421
-7.791683488090432,0.0,1210.5263157894738
-4.714541476029441,0.0,1289.4736842105262
-1.144955713977101,0.0,1368.421052631579
-0.04697040864255519,0.0,1447.3684210526317
0.0,0.0,1526.3157894736842
0.0,0.0,1605.2631578947369
0.0,0.0,1684.2105263157894
0.0,0.0,1763.157894736842
0.0,0.0,1842.1052631578948
0.0,0.0,1921.0526315789473
0.0,0.0,2000.0
-95.78544061302682,1.0,500.0
-77.6639344262295,1.0,578.9473684210526
-49.317147192716234,1.0,657.8947368421052
-55.52721088435374,1.0,736.8421052631579
-62.92987941045109,1.0,815.7894736842105
-50.75268817204301,1.0,894.7368421052631
-27.563754747693977,1.0,973.6842105263158
-13.107874598864479,1.0,1052.6315789473683
-11.20785889707524,1.0,1131.578947368421
-11.566410981025435,1.0,1210.5263157894738
-8.175850407797892,1.0,1289.4736842105262
-2.9812054439403757,1.0,1368.421052631579
-0.3053076561766087,1.0,1447.3684210526317
0.0,1.0,1526.3157894736842
0.0,1.0,1605.2631578947369
0.0,1.0,1684.2105263157894
0.0,1.0,1763.157894736842
0.0,1.0,1842.1052631578948
0.0,1.0,1921.0526315789473
0.0,1.0,2000.0
-98.85057471264368,2.0,500.0
-95.90163934426229,2.0,578.9473684210526
-81.33535660091047,2.0,657.8947368421052
-72.53401360544218,2.0,736.8421052631579
-74.98883430102724,2.0,815.7894736842105
-70.72196620583718,2.0,894.7368421052631
-49.918610960390666,2.0,973.6842105263158
-26.191063934830908,2.0,1052.6315789473683
-17.637865594998885,2.0,1131.578947368421
-17.11748082357691,2.0,1210.5263157894738
-12.552218022677541,2.0,1289.4736842105262
-5.271116871894578,2.0,1368.421052631579
-1.0803193987787694,2.0,1447.3684210526317
-0.10556875164951174,2.0,1526.3157894736842
0.0,2.0,1605.2631578947369
0.0,2.0,1684.2105263157894
0.0,2.0,1763.157894736842
0.0,2.0,1842.1052631578948
0.0,2.0,1921.0526315789473
0.0,2.0,2000.0
-99.23371647509579,3.0,500.0
-97.1311475409836,3.0,578.9473684210526
-89.37784522003035,3.0,657.8947368421052
-80.27210884353741,3.0,736.8421052631579
-78.87449754354623,3.0,815.7894736842105
-75.85253456221199,3.0,894.7368421052631
-60.22788931090613,3.0,973.6842105263158
-36.70698592940015,3.0,1052.6315789473683
-23.308774279973207,3.0,1131.578947368421
-20.205894226887363,3.0,1210.5263157894738
-15.158146011537696,3.0,1289.4736842105262
-7.1721754158565565,3.0,1368.421052631579
-1.85533114138093,3.0,1447.3684210526317
-0.3167062549485352,3.0,1526.3157894736842
0.0,3.0,1605.2631578947369
0.0,3.0,1684.2105263157894
0.0,3.0,1763.157894736842
0.0,3.0,1842.1052631578948
0.0,3.0,1921.0526315789473
0.0,3.0,2000.0
