,Date,Projection,Ensemble Statistic,Air Temperature[C]
96,2019-01,SSP585,Ensemble mean,-6.839145295516289
97,2019-02,SSP585,Ensemble mean,-4.566196076766289
98,2019-03,SSP585,Ensemble mean,-1.8496964164401675
99,2019-04,SSP585,Ensemble mean,1.0354088824728365
100,2019-05,SSP585,Ensemble mean,4.967462158203148
101,2019-06,SSP585,Ensemble mean,10.026613185716712
102,2019-07,SSP585,Ensemble mean,15.965243662958585
103,2019-08,SSP585,Ensemble mean,16.585992431640648
104,2019-09,SSP585,Ensemble mean,11.763838262143338
105,2019-10,SSP585,Ensemble mean,3.574873418393338
106,2019-11,SSP585,Ensemble mean,-3.3818141771399155
107,2019-12,SSP585,Ensemble mean,-6.958697244395353
