Row,Year,Data Type,Water Components
1,2003,"TWS",26.63
2,2004,"TWS",27.28
3,2005,"TWS",24.68
4,2006,"TWS",17.64
5,2007,"TWS",16.48
6,2008,"TWS",16.83
7,2009,"TWS",-2.187
8,2010,"TWS",4.2
9,2011,"TWS",8.554
10,2012,"TWS",8.972
11,2013,"TWS",2.9
12,2014,"TWS",-8.951
13,2015,"TWS",-18.
14,2016,"TWS",-20.67
15,2017,"TWS",-15.05
16,2018,"TWS",-16.88
17,2019,"TWS",-42.51
18,2020,"TWS",-29.92
