Date,Total_Power_Outages,State
05/11/2022 5:00,1238,Minnesota
05/11/2022 5:00,6,Nebraska
05/11/2022 5:00,14,North Dakota
05/11/2022 5:00,16,South Dakota
05/11/2022 6:00,4731,Iowa
05/11/2022 6:00,414,Minnesota
05/11/2022 6:00,4,Nebraska
05/11/2022 6:00,14,North Dakota
05/11/2022 6:00,16,South Dakota
05/11/2022 7:00,856,Iowa
05/11/2022 7:00,558,Minnesota
05/11/2022 7:00,3,Nebraska
05/11/2022 7:00,0,North Dakota
05/11/2022 7:00,16,South Dakota
05/11/2022 8:00,833,Iowa
05/11/2022 8:00,608,Minnesota
05/11/2022 8:00,3,Nebraska
05/11/2022 8:00,5,North Dakota
05/11/2022 8:00,14,South Dakota
05/11/2022 9:00,799,Iowa
05/11/2022 9:00,211,Minnesota
05/11/2022 9:00,3,Nebraska
05/11/2022 9:00,5,North Dakota
05/11/2022 9:00,14,South Dakota
05/11/2022 10:00,23,Iowa
05/11/2022 10:00,75,Minnesota
05/11/2022 10:00,3,Nebraska
05/11/2022 10:00,5,North Dakota
05/11/2022 10:00,197,South Dakota
05/11/2022 11:00,21,Iowa
05/11/2022 11:00,82,Minnesota
05/11/2022 11:00,3,Nebraska
05/11/2022 11:00,6,North Dakota
05/11/2022 11:00,197,South Dakota
05/11/2022 12:00,25,Iowa
05/11/2022 12:00,97,Minnesota
05/11/2022 12:00,82,Nebraska
05/11/2022 12:00,123,North Dakota
05/11/2022 12:00,197,South Dakota
05/11/2022 13:00,116,Iowa
05/11/2022 13:00,216,Minnesota
05/11/2022 13:00,110,Nebraska
05/11/2022 13:00,124,North Dakota
05/11/2022 13:00,257,South Dakota
05/11/2022 14:00,197,Iowa
05/11/2022 14:00,630,Minnesota
05/11/2022 14:00,309,Nebraska
05/11/2022 14:00,14,North Dakota
05/11/2022 14:00,256,South Dakota
05/11/2022 15:00,190,Iowa
05/11/2022 15:00,575,Minnesota
05/11/2022 15:00,302,Nebraska
05/11/2022 15:00,1,North Dakota
05/11/2022 15:00,154,South Dakota
05/11/2022 16:00,309,Iowa
05/11/2022 16:00,436,Minnesota
05/11/2022 16:00,217,Nebraska
05/11/2022 16:00,0,North Dakota
