time,band,x,y,spatial_ref,SM
1950-01-31,1,-117.8500079944353,34.85000743955035,0,73.5215072631836
1950-02-28,1,-117.8500079944353,34.85000743955035,0,75.40322875976562
1950-03-31,1,-117.8500079944353,34.85000743955035,0,85.21505737304688
1950-04-30,1,-117.8500079944353,34.85000743955035,0,80.3763427734375
1950-05-31,1,-117.8500079944353,34.85000743955035,0,68.1451644897461
1950-06-30,1,-117.8500079944353,34.85000743955035,0,44.086021423339844
1950-07-31,1,-117.8500079944353,34.85000743955035,0,27.150537490844727
1950-08-31,1,-117.8500079944353,34.85000743955035,0,17.47311782836914
1950-09-30,1,-117.8500079944353,34.85000743955035,0,14.381720542907715
1950-10-31,1,-117.8500079944353,34.85000743955035,0,22.44623565673828
1950-11-30,1,-117.8500079944353,34.85000743955035,0,29.16666603088379
1950-12-31,1,-117.8500079944353,34.85000743955035,0,59.67741775512695
1951-01-31,1,-117.8500079944353,34.85000743955035,0,64.6505355834961
1951-02-28,1,-117.8500079944353,34.85000743955035,0,78.09140014648438
1951-03-31,1,-117.8500079944353,34.85000743955035,0,81.04838562011719
1951-04-30,1,-117.8500079944353,34.85000743955035,0,72.71505737304688
1951-05-31,1,-117.8500079944353,34.85000743955035,0,62.76881790161133
1951-06-30,1,-117.8500079944353,34.85000743955035,0,45.43010711669922
1951-07-31,1,-117.8500079944353,34.85000743955035,0,25.134408950805664
1951-08-31,1,-117.8500079944353,34.85000743955035,0,18.145160675048828
1951-09-30,1,-117.8500079944353,34.85000743955035,0,14.381720542907715
1951-10-31,1,-117.8500079944353,34.85000743955035,0,17.06989288330078
1951-11-30,1,-117.8500079944353,34.85000743955035,0,36.42473220825195
1951-12-31,1,-117.8500079944353,34.85000743955035,0,50.26881790161133
1952-01-31,1,-117.8500079944353,34.85000743955035,0,61.82795715332031
1952-02-29,1,-117.8500079944353,34.85000743955035,0,74.05914306640625
1952-03-31,1,-117.8500079944353,34.85000743955035,0,84.67742156982422
1952-04-30,1,-117.8500079944353,34.85000743955035,0,78.09140014648438
1952-05-31,1,-117.8500079944353,34.85000743955035,0,51.07526779174805
1952-06-30,1,-117.8500079944353,34.85000743955035,0,30.645160675048828
1952-07-31,1,-117.8500079944353,34.85000743955035,0,26.747312545776367
1952-08-31,1,-117.8500079944353,34.85000743955035,0,16.26344108581543
1952-09-30,1,-117.8500079944353,34.85000743955035,0,18.010753631591797
1952-10-31,1,-117.8500079944353,34.85000743955035,0,20.83333396911621
1952-11-30,1,-117.8500079944353,34.85000743955035,0,38.978492736816406
1952-12-31,1,-117.8500079944353,34.85000743955035,0,60.21505355834961
1953-01-31,1,-117.8500079944353,34.85000743955035,0,74.73118591308594
