Date,Total_Power_Outages,State
02/14/2021 22:00,84666.0,Texas
02/14/2021 23:00,87312.0,Texas
02/15/2021 00:00,112948.0,Texas
02/15/2021 01:00,137692.0,Texas
02/15/2021 02:00,141185.0,Texas
02/15/2021 03:00,165464.0,Texas
02/15/2021 04:00,152448.0,Texas
02/15/2021 05:00,147261.0,Texas
02/15/2021 06:00,166755.0,Texas
02/15/2021 07:00,267318.0,Texas
02/15/2021 08:00,1376082.0,Texas
02/15/2021 09:00,1588604.0,Texas
02/15/2021 10:00,1752279.0,Texas
02/15/2021 11:00,2087273.0,Texas
02/15/2021 12:00,2448594.0,Texas
02/15/2021 13:00,2560081.0,Texas
02/15/2021 14:00,2698196.0,Texas
02/15/2021 15:00,2667805.0,Texas
02/15/2021 16:00,2766443.0,Texas
02/15/2021 17:00,2857360.0,Texas
02/15/2021 18:00,2907956.0,Texas
02/15/2021 19:00,2959970.0,Texas
02/15/2021 20:00,2915273.0,Texas
02/15/2021 21:00,2799610.0,Texas
02/15/2021 22:00,2711477.0,Texas
02/15/2021 23:00,2723894.0,Texas
02/16/2021 00:00,2835883.0,Texas
02/16/2021 01:00,3111703.0,Texas
02/16/2021 02:00,3502439.0,Texas
02/16/2021 03:00,3519132.0,Texas
02/16/2021 04:00,3435692.0,Texas
02/16/2021 05:00,3314610.0,Texas
02/16/2021 06:00,3331335.0,Texas
02/16/2021 07:00,3315714.0,Texas
02/16/2021 08:00,3217789.0,Texas
02/16/2021 09:00,3199778.0,Texas
02/16/2021 10:00,3275342.0,Texas
02/16/2021 11:00,3314214.0,Texas
02/16/2021 12:00,3310259.0,Texas
02/16/2021 13:00,3441896.0,Texas
02/16/2021 14:00,3573720.0,Texas
02/16/2021 15:00,3764046.0,Texas
02/16/2021 16:00,3812854.0,Texas
02/16/2021 17:00,3206175.0,Texas
02/16/2021 18:00,3565880.0,Texas
02/16/2021 19:00,4330644.0,Texas
02/16/2021 20:00,4079554.0,Texas
02/16/2021 21:00,3810769.0,Texas
02/16/2021 22:00,3596706.0,Texas
02/16/2021 23:00,3602830.0,Texas
02/17/2021 00:00,3675822.0,Texas
02/17/2021 01:00,3873218.0,Texas
02/17/2021 02:00,3848540.0,Texas
02/17/2021 03:00,3807159.0,Texas
02/17/2021 04:00,3816943.0,Texas
02/17/2021 05:00,3777881.0,Texas
02/17/2021 06:00,3718408.0,Texas
02/17/2021 07:00,3500262.0,Texas
02/17/2021 08:00,3414134.0,Texas
02/17/2021 09:00,3300777.0,Texas
02/17/2021 10:00,3279294.0,Texas
02/17/2021 11:00,3307787.0,Texas
02/17/2021 12:00,3344504.0,Texas
02/17/2021 13:00,3396970.0,Texas
02/17/2021 14:00,3464995.0,Texas
02/17/2021 15:00,3436433.0,Texas
02/17/2021 16:00,3434321.0,Texas
02/17/2021 17:00,3439477.0,Texas
02/17/2021 18:00,3292702.0,Texas
