time,band,x,y,spatial_ref,SM
1950-01-31,1,-86.65000587796197,34.65000742224552,0,80.64516067504883
1950-02-28,1,-86.65000587796197,34.65000742224552,0,86.62634658813477
1950-03-31,1,-86.65000587796197,34.65000742224552,0,77.88978576660156
1950-04-30,1,-86.65000587796197,34.65000742224552,0,60.34946250915527
1950-05-31,1,-86.65000587796197,34.65000742224552,0,44.4892463684082
1950-06-30,1,-86.65000587796197,34.65000742224552,0,26.075268745422363
1950-07-31,1,-86.65000587796197,34.65000742224552,0,25.403225898742676
1950-08-31,1,-86.65000587796197,34.65000742224552,0,16.935483932495117
1950-09-30,1,-86.65000587796197,34.65000742224552,0,30.309139251708984
1950-10-31,1,-86.65000587796197,34.65000742224552,0,23.118279457092285
1950-11-30,1,-86.65000587796197,34.65000742224552,0,37.70161247253418
1950-12-31,1,-86.65000587796197,34.65000742224552,0,65.38978576660156
1951-01-31,1,-86.65000587796197,34.65000742224552,0,79.6370964050293
1951-02-28,1,-86.65000587796197,34.65000742224552,0,86.69355010986328
1951-03-31,1,-86.65000587796197,34.65000742224552,0,77.82257843017578
1951-04-30,1,-86.65000587796197,34.65000742224552,0,57.66128921508789
1951-05-31,1,-86.65000587796197,34.65000742224552,0,37.567203521728516
1951-06-30,1,-86.65000587796197,34.65000742224552,0,24.79838752746582
1951-07-31,1,-86.65000587796197,34.65000742224552,0,23.588709831237793
1951-08-31,1,-86.65000587796197,34.65000742224552,0,30.3091402053833
1951-09-30,1,-86.65000587796197,34.65000742224552,0,25.9408597946167
1951-10-31,1,-86.65000587796197,34.65000742224552,0,11.827957153320312
1951-11-30,1,-86.65000587796197,34.65000742224552,0,16.599462509155273
1951-12-31,1,-86.65000587796197,34.65000742224552,0,32.72849464416504
1952-01-31,1,-86.65000587796197,34.65000742224552,0,70.29570007324219
1952-02-29,1,-86.65000587796197,34.65000742224552,0,89.18010711669922
1952-03-31,1,-86.65000587796197,34.65000742224552,0,73.3870964050293
1952-04-30,1,-86.65000587796197,34.65000742224552,0,59.94623565673828
1952-05-31,1,-86.65000587796197,34.65000742224552,0,42.67473220825195
1952-06-30,1,-86.65000587796197,34.65000742224552,0,20.49731159210205
1952-07-31,1,-86.65000587796197,34.65000742224552,0,14.314516067504883
1952-08-31,1,-86.65000587796197,34.65000742224552,0,17.94354820251465
1952-09-30,1,-86.65000587796197,34.65000742224552,0,30.77957010269165
1952-10-31,1,-86.65000587796197,34.65000742224552,0,14.717742204666138
1952-11-30,1,-86.65000587796197,34.65000742224552,0,28.091397285461426
1952-12-31,1,-86.65000587796197,34.65000742224552,0,51.68010711669922
1953-01-31,1,-86.65000587796197,34.65000742224552,0,81.31720352172852
1953-02-28,1,-86.65000587796197,34.65000742224552,0,83.87096786499023
1953-03-31,1,-86.65000587796197,34.65000742224552,0,71.63978576660156
1953-04-30,1,-86.65000587796197,34.65000742224552,0,61.89516258239746
1953-05-31,1,-86.65000587796197,34.65000742224552,0,50.8736572265625
1953-06-30,1,-86.65000587796197,34.65000742224552,0,50.20161247253418
1953-07-31,1,-86.65000587796197,34.65000742224552,0,34.13978385925293
1953-08-31,1,-86.65000587796197,34.65000742224552,0,24.395161628723145
1953-09-30,1,-86.65000587796197,34.65000742224552,0,28.091398239135742
1953-10-31,1,-86.65000587796197,34.65000742224552,0,18.75
1953-11-30,1,-86.65000587796197,34.65000742224552,0,29.771506309509277
1953-12-31,1,-86.65000587796197,34.65000742224552,0,73.58871078491211
1954-01-31,1,-86.65000587796197,34.65000742224552,0,87.16397857666016
1954-02-28,1,-86.65000587796197,34.65000742224552,0,85.08064270019531
1954-03-31,1,-86.65000587796197,34.65000742224552,0,78.36021423339844
1954-04-30,1,-86.65000587796197,34.65000742224552,0,67.60752868652344
1954-05-31,1,-86.65000587796197,34.65000742224552,0,42.607526779174805
1954-06-30,1,-86.65000587796197,34.65000742224552,0,35.48387145996094
1954-07-31,1,-86.65000587796197,34.65000742224552,0,32.59408473968506
1954-08-31,1,-86.65000587796197,34.65000742224552,0,19.48924732208252
1954-09-30,1,-86.65000587796197,34.65000742224552,0,41.397850036621094
1954-10-31,1,-86.65000587796197,34.65000742224552,0,35.8870964050293
1954-11-30,1,-86.65000587796197,34.65000742224552,0,39.58333396911621
1954-12-31,1,-86.65000587796197,34.65000742224552,0,75.8736572265625
1955-01-31,1,-86.65000587796197,34.65000742224552,0,80.64516067504883
1955-02-28,1,-86.65000587796197,34.65000742224552,0,86.62634658813477
1955-03-31,1,-86.65000587796197,34.65000742224552,0,77.88978576660156
1955-04-30,1,-86.65000587796197,34.65000742224552,0,60.34946250915527
1955-05-31,1,-86.65000587796197,34.65000742224552,0,44.4892463684082
1955-06-30,1,-86.65000587796197,34.65000742224552,0,26.075268745422363
1955-07-31,1,-86.65000587796197,34.65000742224552,0,25.403225898742676
1955-08-31,1,-86.65000587796197,34.65000742224552,0,16.935483932495117
1955-09-30,1,-86.65000587796197,34.65000742224552,0,30.309139251708984
1955-10-31,1,-86.65000587796197,34.65000742224552,0,23.118279457092285
1955-11-30,1,-86.65000587796197,34.65000742224552,0,37.70161247253418
1955-12-31,1,-86.65000587796197,34.65000742224552,0,65.38978576660156
1956-01-31,1,-86.65000587796197,34.65000742224552,0,79.6370964050293
1956-02-29,1,-86.65000587796197,34.65000742224552,0,86.69355010986328
1956-03-31,1,-86.65000587796197,34.65000742224552,0,77.82257843017578
1956-04-30,1,-86.65000587796197,34.65000742224552,0,57.66128921508789
1956-05-31,1,-86.65000587796197,34.65000742224552,0,37.567203521728516
