,Date,NDTI
232,2022243,0.581706975
233,2022244,0.405528672
234,2022249,0.435258519
235,2022251,0.515321802
236,2022267,0.601062257
237,2022269,0.430158247
238,2022274,0.44517719
239,2022275,0.638439467
240,2022279,0.448242716
241,2022283,0.747011777
242,2022284,0.350477594
243,2022289,0.330259888
244,2022294,0.30310256
245,2022299,0.419761657
246,2022299,0.362785165
247,2022307,0.559023858
248,2022314,0.447708871
249,2022319,0.406682611
250,2022323,0.489277591
251,2022324,0.395999099
252,2022331,0.498420431
253,2022347,0.593012046
254,2022349,0.378471854
