Date,SST,source
2022-09-01,28.37603,SST
2022-10-01,28.231123,SST
2022-11-01,27.430464,SST
2022-12-01,26.531599,SST
2005-01-01,26.57922481,Trendline
2005-02-01,26.57977816,Trendline
2005-03-01,26.58027796,Trendline
2005-04-01,26.58083131,Trendline
2005-05-01,26.5813668,Trendline
2005-06-01,26.58192015,Trendline
2005-07-01,26.58245565,Trendline
2005-08-01,26.583009,Trendline
2005-09-01,26.58356234,Trendline
2005-10-01,26.58409784,Trendline
2005-11-01,26.58465119,Trendline
2005-12-01,26.58518669,Trendline
2006-01-01,26.58574003,Trendline
2006-02-01,26.58629338,Trendline
2006-03-01,26.58679318,Trendline
2006-04-01,26.58734653,Trendline
2006-05-01,26.58788203,Trendline
2006-06-01,26.58843537,Trendline
2006-07-01,26.58897087,Trendline
2006-08-01,26.58952422,Trendline
2006-09-01,26.59007757,Trendline
2006-10-01,26.59061306,Trendline
2006-11-01,26.59116641,Trendline
2006-12-01,26.59170191,Trendline
2007-01-01,26.59225526,Trendline
2007-02-01,26.5928086,Trendline
2007-03-01,26.5933084,Trendline
2007-04-01,26.59386175,Trendline
2007-05-01,26.59439725,Trendline
2007-06-01,26.59495059,Trendline
2007-07-01,26.59548609,Trendline
2007-08-01,26.59603944,Trendline
2007-09-01,26.59659279,Trendline
2007-10-01,26.59712828,Trendline
2007-11-01,26.59768163,Trendline
2007-12-01,26.59821713,Trendline
2008-01-01,26.59877048,Trendline
2008-02-01,26.59932382,Trendline
2008-03-01,26.59984147,Trendline
2008-04-01,26.60039482,Trendline
2008-05-01,26.60093032,Trendline
2008-06-01,26.60148367,Trendline
2008-07-01,26.60201916,Trendline
2008-08-01,26.60257251,Trendline
2008-09-01,26.60312586,Trendline
2008-10-01,26.60366136,Trendline
2008-11-01,26.6042147,Trendline
2008-12-01,26.6047502,Trendline
2009-01-01,26.60530355,Trendline
2009-02-01,26.6058569,Trendline
2009-03-01,26.60635669,Trendline
2009-04-01,26.60691004,Trendline
2009-05-01,26.60744554,Trendline
2009-06-01,26.60799889,Trendline
2009-07-01,26.60853438,Trendline
2009-08-01,26.60908773,Trendline
2009-09-01,26.60964108,Trendline
2009-10-01,26.61017658,Trendline
2009-11-01,26.61072992,Trendline
2009-12-01,26.61126542,Trendline
2010-01-01,26.61181877,Trendline
2010-02-01,26.61237212,Trendline
2010-03-01,26.61287192,Trendline
2010-04-01,26.61342526,Trendline
2010-05-01,26.61396076,Trendline
2010-06-01,26.61451411,Trendline
2010-07-01,26.61504961,Trendline
2010-08-01,26.61560295,Trendline
2010-09-01,26.6161563,Trendline
2010-10-01,26.6166918,Trendline
2010-11-01,26.61724515,Trendline
2010-12-01,26.61778064,Trendline
2011-01-01,26.61833399,Trendline
2011-02-01,26.61888734,Trendline
2011-03-01,26.61938714,Trendline
2011-04-01,26.61994048,Trendline
2011-05-01,26.62047598,Trendline
2011-06-01,26.62102933,Trendline
2011-07-01,26.62156483,Trendline
2011-08-01,26.62211817,Trendline
2011-09-01,26.62267152,Trendline
2011-10-01,26.62320702,Trendline
2011-11-01,26.62376037,Trendline
2011-12-01,26.62429587,Trendline
2012-01-01,26.62484921,Trendline
2012-02-01,26.62540256,Trendline
2012-03-01,26.62592021,Trendline
2012-04-01,26.62647356,Trendline
2012-05-01,26.62700905,Trendline
2012-06-01,26.6275624,Trendline
2012-07-01,26.6280979,Trendline
2012-08-01,26.62865125,Trendline
2012-09-01,26.62920459,Trendline
2012-10-01,26.62974009,Trendline
2012-11-01,26.63029344,Trendline
2012-12-01,26.63082894,Trendline
2013-01-01,26.63138228,Trendline
2013-02-01,26.63193563,Trendline
2013-03-01,26.63243543,Trendline
2013-04-01,26.63298878,Trendline
2013-05-01,26.63352427,Trendline
2013-06-01,26.63407762,Trendline
2013-07-01,26.63461312,Trendline
2013-08-01,26.63516647,Trendline
2013-09-01,26.63571981,Trendline
2013-10-01,26.63625531,Trendline
2013-11-01,26.63680866,Trendline
2013-12-01,26.63734416,Trendline
2014-01-01,26.63789751,Trendline
2014-02-01,26.63845085,Trendline
2014-03-01,26.63895065,Trendline
2014-04-01,26.639504,Trendline
2014-05-01,26.6400395,Trendline
2014-06-01,26.64059284,Trendline
2014-07-01,26.64112834,Trendline
2014-08-01,26.64168169,Trendline
2014-09-01,26.64223504,Trendline
2014-10-01,26.64277053,Trendline
2014-11-01,26.64332388,Trendline
2014-12-01,26.64385938,Trendline
2015-01-01,26.64441273,Trendline
2015-02-01,26.64496607,Trendline
2015-03-01,26.64546587,Trendline
2015-04-01,26.64601922,Trendline
2015-05-01,26.64655472,Trendline
2015-06-01,26.64710806,Trendline
2015-07-01,26.64764356,Trendline
2015-08-01,26.64819691,Trendline
2015-09-01,26.64875026,Trendline
2015-10-01,26.64928576,Trendline
2015-11-01,26.6498391,Trendline
2015-12-01,26.6503746,Trendline
2016-01-01,26.65092795,Trendline
2016-02-01,26.6514813,Trendline
2016-03-01,26.65199894,Trendline
2016-04-01,26.65255229,Trendline
2016-05-01,26.65308779,Trendline
2016-06-01,26.65364114,Trendline
2016-07-01,26.65417663,Trendline
2016-08-01,26.65472998,Trendline
2016-09-01,26.65528333,Trendline
2016-10-01,26.65581883,Trendline
2016-11-01,26.65637217,Trendline
2016-12-01,26.65690767,Trendline
2017-01-01,26.65746102,Trendline
2017-02-01,26.65801437,Trendline
2017-03-01,26.65851416,Trendline
2017-04-01,26.65906751,Trendline
2017-05-01,26.65960301,Trendline
2017-06-01,26.66015636,Trendline
2017-07-01,26.66069185,Trendline
2017-08-01,26.6612452,Trendline
2017-09-01,26.66179855,Trendline
2017-10-01,26.66233405,Trendline
2017-11-01,26.6628874,Trendline
2017-12-01,26.66342289,Trendline
2018-01-01,26.66397624,Trendline
2018-02-01,26.66452959,Trendline
2018-03-01,26.66502939,Trendline
2018-04-01,26.66558273,Trendline
2018-05-01,26.66611823,Trendline
2018-06-01,26.66667158,Trendline
2018-07-01,26.66720708,Trendline
2018-08-01,26.66776042,Trendline
2018-09-01,26.66831377,Trendline
2018-10-01,26.66884927,Trendline
2018-11-01,26.66940262,Trendline
2018-12-01,26.66993811,Trendline
2019-01-01,26.67049146,Trendline
2019-02-01,26.67104481,Trendline
2019-03-01,26.67154461,Trendline
2019-04-01,26.67209795,Trendline
2019-05-01,26.67263345,Trendline
2019-06-01,26.6731868,Trendline
2019-07-01,26.6737223,Trendline
2019-08-01,26.67427565,Trendline
2019-09-01,26.67482899,Trendline
2019-10-01,26.67536449,Trendline
2019-11-01,26.67591784,Trendline
2019-12-01,26.67645334,Trendline
2020-01-01,26.67700668,Trendline
2020-02-01,26.67756003,Trendline
2020-03-01,26.67807768,Trendline
2020-04-01,26.67863103,Trendline
2020-05-01,26.67916652,Trendline
2020-06-01,26.67971987,Trendline
2020-07-01,26.68025537,Trendline
2020-08-01,26.68080872,Trendline
2020-09-01,26.68136206,Trendline
2020-10-01,26.68189756,Trendline
2020-11-01,26.68245091,Trendline
2020-12-01,26.68298641,Trendline
2021-01-01,26.68353975,Trendline
2021-02-01,26.6840931,Trendline
2021-03-01,26.6845929,Trendline
2021-04-01,26.68514625,Trendline
2021-05-01,26.68568175,Trendline
2021-06-01,26.68623509,Trendline
2021-07-01,26.68677059,Trendline
2021-08-01,26.68732394,Trendline
2021-09-01,26.68787729,Trendline
2021-10-01,26.68841278,Trendline
2021-11-01,26.68896613,Trendline
2021-12-01,26.68950163,Trendline
2022-01-01,26.69005498,Trendline
2022-02-01,26.69060832,Trendline
2022-03-01,26.69110812,Trendline
2022-04-01,26.69166147,Trendline
2022-05-01,26.69219697,Trendline
2022-06-01,26.69275031,Trendline
2022-07-01,26.69328581,Trendline
2022-08-01,26.69383916,Trendline
2022-09-01,26.69439251,Trendline
2022-10-01,26.694928,Trendline
2022-11-01,26.69548135,Trendline
2022-12-01,26.69601685,Trendline
