Date,fluxdata,source
1/1/1980,47.9133492,Flux
2/1/1980,64.9273758,Flux
3/1/1980,99.2088318,Flux
4/1/1980,81.0993652,Flux
5/1/1980,88.2251892,Flux
6/1/1980,84.8147507,Flux
7/1/1980,76.4820862,Flux
8/1/1980,74.3662567,Flux
9/1/1980,57.6609955,Flux
10/1/1980,60.6159325,Flux
11/1/1980,43.7909203,Flux
12/1/1980,45.9580803,Flux
1/1/1981,53.7507439,Flux
2/1/1981,62.8912926,Flux
3/1/1981,81.7813034,Flux
4/1/1981,114.997536,Flux
5/1/1981,110.121994,Flux
6/1/1981,84.8740768,Flux
7/1/1981,80.74366,Flux
8/1/1981,63.2686996,Flux
9/1/1981,49.7020531,Flux
10/1/1981,64.6148529,Flux
11/1/1981,48.4425163,Flux
12/1/1981,51.9642487,Flux
1/1/1982,55.7453079,Flux
2/1/1982,62.0665932,Flux
3/1/1982,74.7322617,Flux
4/1/1982,76.2532425,Flux
5/1/1982,79.8716278,Flux
6/1/1982,71.0248337,Flux
7/1/1982,72.644516,Flux
8/1/1982,73.819458,Flux
9/1/1982,54.447506,Flux
10/1/1982,50.320507,Flux
11/1/1982,36.9884911,Flux
12/1/1982,44.3526115,Flux
1/1/1983,40.4398499,Flux
2/1/1983,47.4278755,Flux
3/1/1983,78.0427322,Flux
4/1/1983,90.7811279,Flux
5/1/1983,118.616066,Flux
6/1/1983,67.0832825,Flux
7/1/1983,82.4744415,Flux
8/1/1983,57.8997879,Flux
9/1/1983,52.5257683,Flux
10/1/1983,45.6987762,Flux
11/1/1983,41.7249565,Flux
12/1/1983,35.5734367,Flux
1/1/1984,48.5124931,Flux
2/1/1984,58.9952774,Flux
3/1/1984,88.2731552,Flux
4/1/1984,90.5927582,Flux
5/1/1984,93.0335617,Flux
6/1/1984,80.2883835,Flux
7/1/1984,68.8274536,Flux
8/1/1984,77.398201,Flux
9/1/1984,58.0746574,Flux
10/1/1984,68.8604355,Flux
11/1/1984,41.4480743,Flux
12/1/1984,50.7580376,Flux
1/1/1985,54.6142921,Flux
2/1/1985,78.5331955,Flux
3/1/1985,96.9757233,Flux
4/1/1985,87.777298,Flux
5/1/1985,97.8690491,Flux
6/1/1985,87.6351242,Flux
7/1/1985,62.9149857,Flux
8/1/1985,68.2222595,Flux
9/1/1985,54.8577919,Flux
10/1/1985,46.7289391,Flux
11/1/1985,44.6117897,Flux
12/1/1985,39.6634598,Flux
1/1/1986,41.9785995,Flux
2/1/1986,67.0629807,Flux
3/1/1986,68.562973,Flux
4/1/1986,107.264549,Flux
5/1/1986,103.950325,Flux
6/1/1986,56.3192978,Flux
7/1/1986,74.8096848,Flux
8/1/1986,68.5656967,Flux
9/1/1986,61.9188652,Flux
10/1/1986,55.0253143,Flux
11/1/1986,40.3259888,Flux
12/1/1986,32.9999733,Flux
1/1/1987,48.0290604,Flux
2/1/1987,57.4287262,Flux
3/1/1987,68.3855362,Flux
4/1/1987,101.455711,Flux
5/1/1987,93.8265991,Flux
6/1/1987,85.4326248,Flux
7/1/1987,80.315567,Flux
8/1/1987,84.6018829,Flux
9/1/1987,45.7918701,Flux
10/1/1987,58.0334702,Flux
11/1/1987,34.3235092,Flux
12/1/1987,47.557663,Flux
1/1/1988,40.2754707,Flux
2/1/1988,62.0084114,Flux
3/1/1988,83.3797379,Flux
4/1/1988,102.496895,Flux
5/1/1988,94.702034,Flux
6/1/1988,73.7402115,Flux
7/1/1988,66.1520081,Flux
8/1/1988,61.8763046,Flux
9/1/1988,68.6717224,Flux
10/1/1988,63.6935883,Flux
11/1/1988,48.6334496,Flux
12/1/1988,50.5698128,Flux
1/1/1989,52.7293396,Flux
2/1/1989,81.1082306,Flux
3/1/1989,86.8843613,Flux
4/1/1989,90.5636902,Flux
5/1/1989,114.136032,Flux
6/1/1989,98.6073914,Flux
7/1/1989,76.6577911,Flux
8/1/1989,68.8088684,Flux
9/1/1989,54.6457939,Flux
10/1/1989,54.7976646,Flux
11/1/1989,49.0886116,Flux
12/1/1989,45.7713661,Flux
1/1/1990,50.0062065,Flux
2/1/1990,62.354702,Flux
3/1/1990,86.9125443,Flux
4/1/1990,85.5464325,Flux
5/1/1990,94.5840759,Flux
6/1/1990,80.8105927,Flux
7/1/1990,71.0422592,Flux
8/1/1990,63.4482765,Flux
9/1/1990,58.6618958,Flux
10/1/1990,51.9386024,Flux
11/1/1990,52.3741379,Flux
12/1/1990,49.3220596,Flux
1/1/1991,39.9171371,Flux
2/1/1991,64.2008972,Flux
3/1/1991,85.1475677,Flux
4/1/1991,76.4384384,Flux
5/1/1991,88.5358276,Flux
6/1/1991,58.8071861,Flux
7/1/1991,59.9541168,Flux
8/1/1991,69.9719543,Flux
9/1/1991,52.3132629,Flux
10/1/1991,49.2614555,Flux
11/1/1991,46.1138115,Flux
12/1/1991,42.3144302,Flux
1/1/1992,47.6689301,Flux
2/1/1992,62.9473228,Flux
3/1/1992,81.3919449,Flux
4/1/1992,78.4527435,Flux
5/1/1992,116.088226,Flux
6/1/1992,52.7872772,Flux
7/1/1992,91.197876,Flux
8/1/1992,63.581913,Flux
9/1/1992,51.6907921,Flux
10/1/1992,65.1332245,Flux
11/1/1992,36.8215218,Flux
12/1/1992,49.4755058,Flux
1/1/1993,34.9303436,Flux
2/1/1993,62.800518,Flux
3/1/1993,75.4933243,Flux
4/1/1993,97.7178574,Flux
5/1/1993,110.493858,Flux
6/1/1993,78.7607269,Flux
7/1/1993,79.9666367,Flux
8/1/1993,77.7835464,Flux
9/1/1993,50.4308815,Flux
10/1/1993,44.7530594,Flux
11/1/1993,45.1155701,Flux
12/1/1993,46.910717,Flux
1/1/1994,35.5991249,Flux
2/1/1994,54.1245575,Flux
3/1/1994,82.7912903,Flux
4/1/1994,78.8609161,Flux
5/1/1994,88.7547531,Flux
6/1/1994,66.5654449,Flux
7/1/1994,81.1052628,Flux
8/1/1994,63.1970558,Flux
9/1/1994,44.9185715,Flux
10/1/1994,50.2442856,Flux
11/1/1994,42.0674438,Flux
12/1/1994,38.6088295,Flux
1/1/1995,44.0389442,Flux
2/1/1995,64.0316238,Flux
3/1/1995,82.9270935,Flux
4/1/1995,87.5798111,Flux
5/1/1995,92.120697,Flux
6/1/1995,64.2985382,Flux
7/1/1995,67.066124,Flux
8/1/1995,60.9737053,Flux
9/1/1995,52.8815422,Flux
10/1/1995,40.9954071,Flux
11/1/1995,49.5175858,Flux
12/1/1995,43.963398,Flux
1/1/1996,48.799511,Flux
2/1/1996,76.4202652,Flux
3/1/1996,83.403656,Flux
4/1/1996,94.773819,Flux
5/1/1996,74.6841736,Flux
6/1/1996,61.7140465,Flux
7/1/1996,94.1252289,Flux
8/1/1996,76.2934265,Flux
9/1/1996,59.4073105,Flux
10/1/1996,49.8354607,Flux
11/1/1996,48.801506,Flux
12/1/1996,46.5375366,Flux
1/1/1997,49.0902672,Flux
2/1/1997,62.0466499,Flux
3/1/1997,82.2053375,Flux
4/1/1997,72.7098312,Flux
5/1/1997,83.892807,Flux
6/1/1997,62.6229248,Flux
7/1/1997,67.3096542,Flux
8/1/1997,62.4631042,Flux
9/1/1997,55.7336273,Flux
10/1/1997,62.4250679,Flux
11/1/1997,44.0170708,Flux
12/1/1997,38.0366135,Flux
1/1/1998,42.1578865,Flux
2/1/1998,58.3539886,Flux
3/1/1998,84.8131866,Flux
4/1/1998,108.200478,Flux
