Date,Value,Type
2012-01-01,2.28500104,Rainfall
2012-02-01,4.22208929,Rainfall
2012-03-01,4.89151239,Rainfall
2012-04-01,2.86530089,Rainfall
2012-05-01,1.51293039,Rainfall
2012-06-01,1.68140674,Rainfall
2012-07-01,4.46071815,Rainfall
2012-08-01,1.44044447,Rainfall
2012-09-01,2.3576591,Rainfall
2012-10-01,0.717368901,Rainfall
2012-11-01,0.702655375,Rainfall
2012-12-01,2.53391242,Rainfall
2013-01-01,5.99944687,Rainfall
2013-02-01,3.17047048,Rainfall
2013-03-01,1.19239593,Rainfall
2013-04-01,3.79907417,Rainfall
2013-05-01,1.41735208,Rainfall
2013-06-01,0.959766805,Rainfall
2013-07-01,2.39600849,Rainfall
2013-08-01,2.21504426,Rainfall
2013-09-01,4.54668999,Rainfall
2013-10-01,6.76586342,Rainfall
2013-11-01,2.68328238,Rainfall
2013-12-01,1.76189208,Rainfall
2014-01-01,1.3952527,Rainfall
2014-02-01,2.76039195,Rainfall
2014-03-01,3.66844535,Rainfall
2014-04-01,1.60180509,Rainfall
2014-05-01,3.42198467,Rainfall
2014-06-01,2.62046385,Rainfall
2014-07-01,2.08062387,Rainfall
2014-08-01,2.39179134,Rainfall
2014-09-01,6.57892227,Rainfall
2014-10-01,1.4197408,Rainfall
2014-11-01,3.00883818,Rainfall
2014-12-01,3.45712543,Rainfall
2015-01-01,5.10038996,Rainfall
2015-02-01,1.93352449,Rainfall
2015-03-01,6.15842628,Rainfall
2015-04-01,6.50928879,Rainfall
2015-05-01,7.00536537,Rainfall
2015-06-01,6.04978466,Rainfall
2015-07-01,1.25676405,Rainfall
2015-08-01,4.05671978,Rainfall
2015-09-01,3.73244023,Rainfall
2015-10-01,7.56027365,Rainfall
2015-11-01,5.09740257,Rainfall
2015-12-01,3.9373219,Rainfall
2016-01-01,2.31540775,Rainfall
2016-02-01,1.6229043,Rainfall
2016-03-01,3.97541094,Rainfall
2016-04-01,4.07481623,Rainfall
2016-05-01,6.61125422,Rainfall
2016-06-01,5.37827396,Rainfall
2016-07-01,1.42627835,Rainfall
2016-08-01,5.82393885,Rainfall
2016-09-01,1.79059017,Rainfall
2016-10-01,0.565911055,Rainfall
2016-11-01,2.74102068,Rainfall
2016-12-01,6.64225864,Rainfall
2017-01-01,2.37850022,Rainfall
2017-02-01,2.64334297,Rainfall
2017-03-01,3.39411044,Rainfall
2017-04-01,3.0088203,Rainfall
2017-05-01,4.88197422,Rainfall
2017-06-01,4.37608528,Rainfall
2017-07-01,1.62272227,Rainfall
2017-08-01,17.1460209,Rainfall
2017-09-01,0.914426267,Rainfall
2017-10-01,1.09988534,Rainfall
2017-11-01,1.1963439,Rainfall
2017-12-01,3.96942973,Rainfall
2018-01-01,2.37450624,Rainfall
2018-02-01,4.8339324,Rainfall
2018-03-01,2.43469882,Rainfall
2018-04-01,2.00642657,Rainfall
2018-05-01,0.971300006,Rainfall
2018-06-01,4.83775711,Rainfall
2018-07-01,2.05429983,Rainfall
2018-08-01,1.46453559,Rainfall
2018-09-01,6.69349051,Rainfall
2018-10-01,4.33519411,Rainfall
2018-11-01,4.7989645,Rainfall
2018-12-01,6.01108313,Rainfall
2019-01-01,3.85279489,Rainfall
2019-02-01,3.40749574,Rainfall
2019-03-01,1.47179759,Rainfall
2019-04-01,3.69788885,Rainfall
2019-05-01,3.76880717,Rainfall
2019-06-01,4.21744108,Rainfall
2019-07-01,1.55443156,Rainfall
2019-08-01,1.39381957,Rainfall
2019-09-01,5.23219395,Rainfall
2019-10-01,3.23189926,Rainfall
2019-11-01,1.99370348,Rainfall
2019-12-01,1.36706746,Rainfall
2020-01-01,3.71244192,Rainfall
2020-02-01,3.18607545,Rainfall
2020-03-01,2.86391592,Rainfall
2020-04-01,3.03739834,Rainfall
2020-05-01,3.77545667,Rainfall
2020-06-01,3.45122433,Rainfall
2020-07-01,2.50193357,Rainfall
2020-08-01,1.3785218,Rainfall
2020-09-01,4.74754095,Rainfall
2020-10-01,1.55441201,Rainfall
2020-11-01,3.00852561,Rainfall
2020-12-01,3.87597513,Rainfall
2021-01-01,2.65968013,Rainfall
2021-02-01,2.41503072,Rainfall
2021-03-01,2.30067754,Rainfall
2021-04-01,4.81620598,Rainfall
2021-05-01,6.14036179,Rainfall
2021-06-01,4.68468761,Rainfall
2021-07-01,4.34591818,Rainfall
2021-08-01,2.08975744,Rainfall
2021-09-01,3.94271278,Rainfall
2021-10-01,1.96369588,Rainfall
2021-11-01,2.30489683,Rainfall
2021-12-01,1.71784139,Rainfall
2022-01-01,1.79962969,Rainfall
2022-02-01,2.81965137,Rainfall
2022-03-01,2.19437099,Rainfall
2022-04-01,1.26966596,Rainfall
2022-05-01,1.67053246,Rainfall
2022-06-01,0.711938322,Rainfall
2022-07-01,1.19016564,Rainfall
2022-08-01,4.21072531,Rainfall
2022-09-01,1.53593123,Rainfall
2022-10-01,2.13351321,Rainfall
2022-11-01,7.37782478,Rainfall
2022-12-01,3.36768818,Rainfall
