time,band,x,y,spatial_ref,SM
1950-01-31,1,-95.15000645456529,29.650006989624757,0,59.67741775512695
1950-02-28,1,-95.15000645456529,29.650006989624757,0,53.225807189941406
1950-03-31,1,-95.15000645456529,29.650006989624757,0,48.252689361572266
1950-04-30,1,-95.15000645456529,29.650006989624757,0,47.04301071166992
1950-05-31,1,-95.15000645456529,29.650006989624757,0,47.31182861328125
1950-06-30,1,-95.15000645456529,29.650006989624757,0,60.61827850341797
1950-07-31,1,-95.15000645456529,29.650006989624757,0,73.38710021972656
1950-08-31,1,-95.15000645456529,29.650006989624757,0,75.67204284667969
1950-09-30,1,-95.15000645456529,29.650006989624757,0,77.1505355834961
1950-10-31,1,-95.15000645456529,29.650006989624757,0,78.8978500366211
1950-11-30,1,-95.15000645456529,29.650006989624757,0,83.33333587646484
1950-12-31,1,-95.15000645456529,29.650006989624757,0,79.83870697021484
1951-01-31,1,-95.15000645456529,29.650006989624757,0,63.17204284667969
1951-02-28,1,-95.15000645456529,29.650006989624757,0,58.7365608215332
1951-03-31,1,-95.15000645456529,29.650006989624757,0,64.247314453125
1951-04-30,1,-95.15000645456529,29.650006989624757,0,50.40322494506836
1951-05-31,1,-95.15000645456529,29.650006989624757,0,53.897850036621094
1951-06-30,1,-95.15000645456529,29.650006989624757,0,60.61827850341797
1951-07-31,1,-95.15000645456529,29.650006989624757,0,68.54838562011719
1951-08-31,1,-95.15000645456529,29.650006989624757,0,43.54838562011719
1951-09-30,1,-95.15000645456529,29.650006989624757,0,48.655914306640625
1951-10-31,1,-95.15000645456529,29.650006989624757,0,58.33333206176758
1951-11-30,1,-95.15000645456529,29.650006989624757,0,75.0
1951-12-31,1,-95.15000645456529,29.650006989624757,0,74.46236419677734
1952-01-31,1,-95.15000645456529,29.650006989624757,0,49.462364196777344
1952-02-29,1,-95.15000645456529,29.650006989624757,0,33.467742919921875
1952-03-31,1,-95.15000645456529,29.650006989624757,0,32.1236572265625
1952-04-30,1,-95.15000645456529,29.650006989624757,0,34.94623565673828
1952-05-31,1,-95.15000645456529,29.650006989624757,0,30.645160675048828
1952-06-30,1,-95.15000645456529,29.650006989624757,0,29.704301834106445
1952-07-31,1,-95.15000645456529,29.650006989624757,0,34.81182861328125
1952-08-31,1,-95.15000645456529,29.650006989624757,0,22.91666603088379
1952-09-30,1,-95.15000645456529,29.650006989624757,0,51.6129035949707
1952-10-31,1,-95.15000645456529,29.650006989624757,0,46.774192810058594
1952-11-30,1,-95.15000645456529,29.650006989624757,0,45.83333206176758
1952-12-31,1,-95.15000645456529,29.650006989624757,0,38.844085693359375
1953-01-31,1,-95.15000645456529,29.650006989624757,0,65.86021423339844
1953-02-28,1,-95.15000645456529,29.650006989624757,0,39.1129035949707
1953-03-31,1,-95.15000645456529,29.650006989624757,0,36.69355010986328
1953-04-30,1,-95.15000645456529,29.650006989624757,0,38.17204284667969
1953-05-31,1,-95.15000645456529,29.650006989624757,0,36.155914306640625
1953-06-30,1,-95.15000645456529,29.650006989624757,0,52.68817138671875
1953-07-31,1,-95.15000645456529,29.650006989624757,0,49.059139251708984
1953-08-31,1,-95.15000645456529,29.650006989624757,0,54.032257080078125
1953-09-30,1,-95.15000645456529,29.650006989624757,0,63.30644989013672
1953-10-31,1,-95.15000645456529,29.650006989624757,0,66.12903594970703
1953-11-30,1,-95.15000645456529,29.650006989624757,0,59.13978576660156
1953-12-31,1,-95.15000645456529,29.650006989624757,0,47.17741775512695
1954-01-31,1,-95.15000645456529,29.650006989624757,0,36.82795715332031
1954-02-28,1,-95.15000645456529,29.650006989624757,0,42.33871078491211
1954-03-31,1,-95.15000645456529,29.650006989624757,0,36.290321350097656
1954-04-30,1,-95.15000645456529,29.650006989624757,0,45.83333206176758
1954-05-31,1,-95.15000645456529,29.650006989624757,0,46.505374908447266
1954-06-30,1,-95.15000645456529,29.650006989624757,0,36.55914115905762
1954-07-31,1,-95.15000645456529,29.650006989624757,0,32.79570007324219
1954-08-31,1,-95.15000645456529,29.650006989624757,0,28.4946231842041
1954-09-30,1,-95.15000645456529,29.650006989624757,0,32.39247131347656
1954-10-31,1,-95.15000645456529,29.650006989624757,0,54.435482025146484
1954-11-30,1,-95.15000645456529,29.650006989624757,0,54.97311782836914
1954-12-31,1,-95.15000645456529,29.650006989624757,0,58.064517974853516
1955-01-31,1,-95.15000645456529,29.650006989624757,0,59.67741775512695
1955-02-28,1,-95.15000645456529,29.650006989624757,0,53.225807189941406
1955-03-31,1,-95.15000645456529,29.650006989624757,0,48.252689361572266
1955-04-30,1,-95.15000645456529,29.650006989624757,0,47.04301071166992
1955-05-31,1,-95.15000645456529,29.650006989624757,0,47.31182861328125
1955-06-30,1,-95.15000645456529,29.650006989624757,0,60.61827850341797
1955-07-31,1,-95.15000645456529,29.650006989624757,0,73.38710021972656
1955-08-31,1,-95.15000645456529,29.650006989624757,0,75.67204284667969
1955-09-30,1,-95.15000645456529,29.650006989624757,0,77.1505355834961
1955-10-31,1,-95.15000645456529,29.650006989624757,0,78.8978500366211
1955-11-30,1,-95.15000645456529,29.650006989624757,0,83.33333587646484
1955-12-31,1,-95.15000645456529,29.650006989624757,0,79.83870697021484
1956-01-31,1,-95.15000645456529,29.650006989624757,0,63.17204284667969
1956-02-29,1,-95.15000645456529,29.650006989624757,0,58.7365608215332
1956-03-31,1,-95.15000645456529,29.650006989624757,0,64.247314453125
1956-04-30,1,-95.15000645456529,29.650006989624757,0,50.40322494506836
1956-05-31,1,-95.15000645456529,29.650006989624757,0,53.897850036621094
