Date,WS,source
2022-09-01,4.595417,WS
2022-10-01,5.776855,WS
2022-11-01,7.250864,WS
2022-12-01,7.554877,WS
2005-01-01,7.000591523,Trendline
2005-02-01,6.998083902,Trendline
2005-03-01,6.995818953,Trendline
2005-04-01,6.993311332,Trendline
2005-05-01,6.990884602,Trendline
2005-06-01,6.98837698,Trendline
2005-07-01,6.98595025,Trendline
2005-08-01,6.983442628,Trendline
2005-09-01,6.980935007,Trendline
2005-10-01,6.978508277,Trendline
2005-11-01,6.976000655,Trendline
2005-12-01,6.973573925,Trendline
2006-01-01,6.971066303,Trendline
2006-02-01,6.968558682,Trendline
2006-03-01,6.966293733,Trendline
2006-04-01,6.963786112,Trendline
2006-05-01,6.961359382,Trendline
2006-06-01,6.95885176,Trendline
2006-07-01,6.95642503,Trendline
2006-08-01,6.953917408,Trendline
2006-09-01,6.951409787,Trendline
2006-10-01,6.948983057,Trendline
2006-11-01,6.946475435,Trendline
2006-12-01,6.944048705,Trendline
2007-01-01,6.941541083,Trendline
2007-02-01,6.939033462,Trendline
2007-03-01,6.936768514,Trendline
2007-04-01,6.934260892,Trendline
2007-05-01,6.931834162,Trendline
2007-06-01,6.92932654,Trendline
2007-07-01,6.92689981,Trendline
2007-08-01,6.924392188,Trendline
2007-09-01,6.921884567,Trendline
2007-10-01,6.919457837,Trendline
2007-11-01,6.916950215,Trendline
2007-12-01,6.914523485,Trendline
2008-01-01,6.912015863,Trendline
2008-02-01,6.909508242,Trendline
2008-03-01,6.907162403,Trendline
2008-04-01,6.904654781,Trendline
2008-05-01,6.902228051,Trendline
2008-06-01,6.899720429,Trendline
2008-07-01,6.897293699,Trendline
2008-08-01,6.894786078,Trendline
2008-09-01,6.892278456,Trendline
2008-10-01,6.889851726,Trendline
2008-11-01,6.887344104,Trendline
2008-12-01,6.884917374,Trendline
2009-01-01,6.882409752,Trendline
2009-02-01,6.879902131,Trendline
2009-03-01,6.877637183,Trendline
2009-04-01,6.875129561,Trendline
2009-05-01,6.872702831,Trendline
2009-06-01,6.870195209,Trendline
2009-07-01,6.867768479,Trendline
2009-08-01,6.865260858,Trendline
2009-09-01,6.862753236,Trendline
2009-10-01,6.860326506,Trendline
2009-11-01,6.857818884,Trendline
2009-12-01,6.855392154,Trendline
2010-01-01,6.852884532,Trendline
2010-02-01,6.850376911,Trendline
2010-03-01,6.848111963,Trendline
2010-04-01,6.845604341,Trendline
2010-05-01,6.843177611,Trendline
2010-06-01,6.840669989,Trendline
2010-07-01,6.838243259,Trendline
2010-08-01,6.835735638,Trendline
2010-09-01,6.833228016,Trendline
2010-10-01,6.830801286,Trendline
2010-11-01,6.828293664,Trendline
2010-12-01,6.825866934,Trendline
2011-01-01,6.823359313,Trendline
2011-02-01,6.820851691,Trendline
2011-03-01,6.818586743,Trendline
2011-04-01,6.816079121,Trendline
2011-05-01,6.813652391,Trendline
2011-06-01,6.81114477,Trendline
2011-07-01,6.808718039,Trendline
2011-08-01,6.806210418,Trendline
2011-09-01,6.803702796,Trendline
2011-10-01,6.801276066,Trendline
2011-11-01,6.798768444,Trendline
2011-12-01,6.796341714,Trendline
2012-01-01,6.793834093,Trendline
2012-02-01,6.791326471,Trendline
2012-03-01,6.788980632,Trendline
2012-04-01,6.78647301,Trendline
2012-05-01,6.78404628,Trendline
2012-06-01,6.781538659,Trendline
2012-07-01,6.779111928,Trendline
2012-08-01,6.776604307,Trendline
2012-09-01,6.774096685,Trendline
2012-10-01,6.771669955,Trendline
2012-11-01,6.769162333,Trendline
2012-12-01,6.766735603,Trendline
2013-01-01,6.764227982,Trendline
2013-02-01,6.76172036,Trendline
2013-03-01,6.759455412,Trendline
2013-04-01,6.75694779,Trendline
2013-05-01,6.75452106,Trendline
2013-06-01,6.752013439,Trendline
2013-07-01,6.749586708,Trendline
2013-08-01,6.747079087,Trendline
2013-09-01,6.744571465,Trendline
2013-10-01,6.742144735,Trendline
2013-11-01,6.739637114,Trendline
2013-12-01,6.737210383,Trendline
2014-01-01,6.734702762,Trendline
2014-02-01,6.73219514,Trendline
2014-03-01,6.729930192,Trendline
2014-04-01,6.72742257,Trendline
2014-05-01,6.72499584,Trendline
2014-06-01,6.722488219,Trendline
2014-07-01,6.720061488,Trendline
2014-08-01,6.717553867,Trendline
2014-09-01,6.715046245,Trendline
2014-10-01,6.712619515,Trendline
2014-11-01,6.710111894,Trendline
2014-12-01,6.707685163,Trendline
2015-01-01,6.705177542,Trendline
2015-02-01,6.70266992,Trendline
2015-03-01,6.700404972,Trendline
2015-04-01,6.697897351,Trendline
2015-05-01,6.69547062,Trendline
2015-06-01,6.692962999,Trendline
2015-07-01,6.690536268,Trendline
2015-08-01,6.688028647,Trendline
2015-09-01,6.685521025,Trendline
2015-10-01,6.683094295,Trendline
2015-11-01,6.680586674,Trendline
2015-12-01,6.678159943,Trendline
2016-01-01,6.675652322,Trendline
2016-02-01,6.6731447,Trendline
2016-03-01,6.670798861,Trendline
2016-04-01,6.66829124,Trendline
2016-05-01,6.665864509,Trendline
2016-06-01,6.663356888,Trendline
2016-07-01,6.660930157,Trendline
2016-08-01,6.658422536,Trendline
2016-09-01,6.655914915,Trendline
2016-10-01,6.653488184,Trendline
2016-11-01,6.650980563,Trendline
2016-12-01,6.648553832,Trendline
2017-01-01,6.646046211,Trendline
2017-02-01,6.643538589,Trendline
2017-03-01,6.641273641,Trendline
2017-04-01,6.63876602,Trendline
2017-05-01,6.636339289,Trendline
