Date,Value,Type
2012-01-01,0.338426739,Rainfall
2012-02-01,1.15895963,Rainfall
2012-03-01,1.00640762,Rainfall
2012-04-01,3.8523047,Rainfall
2012-05-01,5.4358573,Rainfall
2012-06-01,6.04620981,Rainfall
2012-07-01,4.37499952,Rainfall
2012-08-01,5.94812202,Rainfall
2012-09-01,5.59293747,Rainfall
2012-10-01,4.02844238,Rainfall
2012-11-01,0.807928205,Rainfall
2012-12-01,1.08666563,Rainfall
2013-01-01,0.730052292,Rainfall
2013-02-01,2.41871262,Rainfall
2013-03-01,0.877427936,Rainfall
2013-04-01,3.16761041,Rainfall
2013-05-01,3.76600051,Rainfall
2013-06-01,5.89064026,Rainfall
2013-07-01,7.55775404,Rainfall
2013-08-01,4.98993063,Rainfall
2013-09-01,5.59650946,Rainfall
2013-10-01,2.06086326,Rainfall
2013-11-01,2.37233949,Rainfall
2013-12-01,1.13552749,Rainfall
2014-01-01,1.71036041,Rainfall
2014-02-01,1.78954089,Rainfall
2014-03-01,1.13392949,Rainfall
2014-04-01,1.40967417,Rainfall
2014-05-01,1.92995715,Rainfall
2014-06-01,4.91448927,Rainfall
2014-07-01,5.15931988,Rainfall
2014-08-01,8.56500816,Rainfall
2014-09-01,8.11134148,Rainfall
2014-10-01,2.48978949,Rainfall
2014-11-01,1.9391644,Rainfall
2014-12-01,0.548874378,Rainfall
2015-01-01,1.04177022,Rainfall
2015-02-01,1.32648158,Rainfall
2015-03-01,1.12343764,Rainfall
2015-04-01,2.38931561,Rainfall
2015-05-01,2.2227838,Rainfall
2015-06-01,3.78900361,Rainfall
2015-07-01,3.27487326,Rainfall
2015-08-01,4.34529352,Rainfall
2015-09-01,6.05178595,Rainfall
2015-10-01,2.15900421,Rainfall
2015-11-01,3.77494884,Rainfall
2015-12-01,4.04769564,Rainfall
2016-01-01,4.23954296,Rainfall
2016-02-01,1.09362066,Rainfall
2016-03-01,1.43015647,Rainfall
2016-04-01,1.07769346,Rainfall
2016-05-01,5.51396704,Rainfall
2016-06-01,5.92953444,Rainfall
2016-07-01,3.92838526,Rainfall
2016-08-01,6.46099663,Rainfall
2016-09-01,6.36816835,Rainfall
2016-10-01,4.87400436,Rainfall
2016-11-01,0.431330174,Rainfall
2016-12-01,1.75606024,Rainfall
2017-01-01,1.10460269,Rainfall
2017-02-01,1.2275238,Rainfall
2017-03-01,0.464447767,Rainfall
2017-04-01,3.19272685,Rainfall
2017-05-01,1.79726386,Rainfall
2017-06-01,7.51880026,Rainfall
2017-07-01,4.58653307,Rainfall
2017-08-01,5.71192217,Rainfall
2017-09-01,12.1696949,Rainfall
2017-10-01,6.293993,Rainfall
2017-11-01,1.28327358,Rainfall
2017-12-01,0.517720342,Rainfall
2018-01-01,1.20378363,Rainfall
2018-02-01,0.37992987,Rainfall
2018-03-01,0.660533786,Rainfall
2018-04-01,1.84601283,Rainfall
2018-05-01,12.1050529,Rainfall
2018-06-01,4.92589045,Rainfall
2018-07-01,4.54902124,Rainfall
2018-08-01,3.50675583,Rainfall
2018-09-01,3.90496683,Rainfall
2018-10-01,1.2372303,Rainfall
2018-11-01,1.53426075,Rainfall
2018-12-01,0.945622325,Rainfall
2019-01-01,1.74606323,Rainfall
2019-02-01,1.33375514,Rainfall
2019-03-01,2.42826772,Rainfall
2019-04-01,1.13347912,Rainfall
2019-05-01,2.64337945,Rainfall
2019-06-01,5.480093,Rainfall
2019-07-01,3.37615275,Rainfall
2019-08-01,6.06501055,Rainfall
2019-09-01,2.31411028,Rainfall
2019-10-01,3.88314795,Rainfall
2019-11-01,1.21689677,Rainfall
2019-12-01,2.45034671,Rainfall
2020-01-01,0.466736287,Rainfall
2020-02-01,1.91940248,Rainfall
2020-03-01,0.115426727,Rainfall
2020-04-01,1.55983531,Rainfall
2020-05-01,6.83087349,Rainfall
2020-06-01,5.80526352,Rainfall
2020-07-01,5.33249617,Rainfall
2020-08-01,5.33770847,Rainfall
2020-09-01,7.63008642,Rainfall
2020-10-01,6.26312351,Rainfall
2020-11-01,5.87898016,Rainfall
2020-12-01,0.824483991,Rainfall
2021-01-01,0.776244581,Rainfall
2021-02-01,1.60995698,Rainfall
2021-03-01,0.427925557,Rainfall
2021-04-01,2.0537858,Rainfall
2021-05-01,1.606444,Rainfall
2021-06-01,5.04969835,Rainfall
2021-07-01,3.54838777,Rainfall
2021-08-01,4.42813921,Rainfall
2021-09-01,5.43238401,Rainfall
2021-10-01,2.25535274,Rainfall
2021-11-01,2.52005577,Rainfall
2021-12-01,0.894865811,Rainfall
2022-01-01,1.99814057,Rainfall
2022-02-01,1.28090334,Rainfall
2022-03-01,1.1133765,Rainfall
2022-04-01,2.03050804,Rainfall
2022-05-01,2.9582696,Rainfall
2022-06-01,8.22606087,Rainfall
2022-07-01,3.44629169,Rainfall
2022-08-01,3.26868105,Rainfall
2022-09-01,7.84968185,Rainfall
2022-10-01,2.5786581,Rainfall
2022-11-01,3.32182074,Rainfall
2022-12-01,1.52769268,Rainfall
2023-01-01,0.32039088,Rainfall
2023-02-01,0.678286254,Rainfall
2023-03-01,0.90288496,Rainfall
2023-04-01,3.2999742,Rainfall
2023-05-01,3.03294754,Rainfall
2023-06-01,4.25561476,Rainfall
2023-07-01,3.98789191,Rainfall
2023-08-01,4.56462479,Rainfall
2023-09-01,4.23495102,Rainfall
2023-10-01,1.91541433,Rainfall
2023-11-01,4.71614552,Rainfall
2023-12-01,2.66096115,Rainfall
2024-01-01,1.34590387,Rainfall
2024-02-01,2.10616946,Rainfall
2024-03-01,2.87522006,Rainfall
2024-04-01,0.556442082,Rainfall
2024-05-01,1.61374366,Rainfall
2024-06-01,5.81641245,Rainfall
2024-07-01,3.67604876,Rainfall
2024-08-01,4.61760807,Rainfall
2024-09-01,5.63071108,Rainfall
2024-10-01,6.48597431,Rainfall
2024-11-01,0.975736499,Rainfall
2024-12-01,1.30527723,Rainfall
2025-01-01,1.17398059,Rainfall
1998-01-01,2.9956484957306855,Trend
1998-02-01,2.9962658863985943,Trend
1998-03-01,2.9968235295825116,Trend
1998-04-01,2.9974409202504204,Trend
1998-05-01,2.9980383950903318,Trend
1998-06-01,2.9986557857582405,Trend
1998-07-01,2.9992532605981523,Trend
1998-08-01,2.9998706512660607,Trend
1998-09-01,3.0004880419339695,Trend
1998-10-01,3.0010855167738812,Trend
1998-11-01,3.00170290744179,Trend
1998-12-01,3.0023003822817014,Trend
1999-01-01,3.00291777294961,Trend
1999-02-01,3.003535163617519,Trend
1999-03-01,3.0040928068014363,Trend
1999-04-01,3.004710197469345,Trend
1999-05-01,3.0053076723092564,Trend
1999-06-01,3.005925062977165,Trend
1999-07-01,3.006522537817077,Trend
1999-08-01,3.0071399284849853,Trend
1999-09-01,3.007757319152894,Trend
1999-10-01,3.008354793992806,Trend
1999-11-01,3.0089721846607147,Trend
1999-12-01,3.009569659500626,Trend
2000-01-01,3.010187050168535,Trend
2000-02-01,3.0108044408364436,Trend
2000-03-01,3.011381999848358,Trend
2000-04-01,3.0119993905162668,Trend
2000-05-01,3.012596865356178,Trend
2000-06-01,3.013214256024087,Trend
2000-07-01,3.0138117308639987,Trend
2000-08-01,3.0144291215319075,Trend
2000-09-01,3.015046512199816,Trend
2000-10-01,3.0156439870397276,Trend
2000-11-01,3.0162613777076364,Trend
2000-12-01,3.0168588525475477,Trend
2001-01-01,3.0174762432154565,Trend
2001-02-01,3.0180936338833653,Trend
2001-03-01,3.0186512770672826,Trend
2001-04-01,3.0192686677351914,Trend
2001-05-01,3.0198661425751028,Trend
2001-06-01,3.0204835332430116,Trend
2001-07-01,3.0210810080829233,Trend
2001-08-01,3.0216983987508317,Trend
2001-09-01,3.0223157894187405,Trend
2001-10-01,3.0229132642586523,Trend
2001-11-01,3.023530654926561,Trend
2001-12-01,3.0241281297664724,Trend
2002-01-01,3.024745520434381,Trend
2002-02-01,3.02536291110229,Trend
2002-03-01,3.0259205542862073,Trend
2002-04-01,3.026537944954116,Trend
2002-05-01,3.0271354197940274,Trend
2002-06-01,3.0277528104619362,Trend
2002-07-01,3.028350285301848,Trend
2002-08-01,3.0289676759697564,Trend
2002-09-01,3.029585066637665,Trend
2002-10-01,3.030182541477577,Trend
2002-11-01,3.0307999321454853,Trend
2002-12-01,3.031397406985397,Trend
2003-01-01,3.032014797653306,Trend
2003-02-01,3.0326321883212146,Trend
2003-03-01,3.033189831505132,Trend
2003-04-01,3.0338072221730408,Trend
2003-05-01,3.034404697012952,Trend
2003-06-01,3.035022087680861,Trend
2003-07-01,3.0356195625207727,Trend
2003-08-01,3.036236953188681,Trend
2003-09-01,3.03685434385659,Trend
2003-10-01,3.0374518186965016,Trend
2003-11-01,3.03806920936441,Trend
2003-12-01,3.0386666842043217,Trend
2004-01-01,3.0392840748722305,Trend
2004-02-01,3.039901465540139,Trend
2004-03-01,3.0404790245520537,Trend
2004-04-01,3.0410964152199624,Trend
2004-05-01,3.041693890059874,Trend
2004-06-01,3.0423112807277826,Trend
2004-07-01,3.0429087555676944,Trend
2004-08-01,3.0435261462356027,Trend
2004-09-01,3.0441435369035115,Trend
2004-10-01,3.0447410117434233,Trend
2004-11-01,3.0453584024113316,Trend
2004-12-01,3.0459558772512434,Trend
2005-01-01,3.046573267919152,Trend
2005-02-01,3.047190658587061,Trend
2005-03-01,3.0477483017709783,Trend
2005-04-01,3.048365692438887,Trend
2005-05-01,3.0489631672787985,Trend
2005-06-01,3.0495805579467072,Trend
2005-07-01,3.050178032786619,Trend
2005-08-01,3.0507954234545274,Trend
2005-09-01,3.051412814122436,Trend
2005-10-01,3.052010288962348,Trend
2005-11-01,3.0526276796302563,Trend
2005-12-01,3.053225154470168,Trend
2006-01-01,3.053842545138077,Trend
2006-02-01,3.0544599358059856,Trend
2006-03-01,3.055017578989903,Trend
2006-04-01,3.055634969657812,Trend
2006-05-01,3.056232444497723,Trend
2006-06-01,3.056849835165632,Trend
2006-07-01,3.0574473100055437,Trend
2006-08-01,3.058064700673452,Trend
2006-09-01,3.058682091341361,Trend
2006-10-01,3.0592795661812726,Trend
2006-11-01,3.059896956849181,Trend
2006-12-01,3.0604944316890927,Trend
2007-01-01,3.0611118223570015,Trend
2007-02-01,3.06172921302491,Trend
2007-03-01,3.0622868562088277,Trend
2007-04-01,3.062904246876736,Trend
2007-05-01,3.063501721716648,Trend
2007-06-01,3.0641191123845566,Trend
2007-07-01,3.064716587224468,Trend
2007-08-01,3.0653339778923767,Trend
2007-09-01,3.0659513685602855,Trend
2007-10-01,3.0665488434001973,Trend
2007-11-01,3.0671662340681056,Trend
2007-12-01,3.0677637089080174,Trend
2008-01-01,3.068381099575926,Trend
2008-02-01,3.0689984902438345,Trend
2008-03-01,3.0695760492557493,Trend
2008-04-01,3.070193439923658,Trend
2008-05-01,3.0707909147635695,Trend
2008-06-01,3.0714083054314782,Trend
2008-07-01,3.0720057802713896,Trend
2008-08-01,3.0726231709392984,Trend
2008-09-01,3.073240561607207,Trend
2008-10-01,3.073838036447119,Trend
2008-11-01,3.0744554271150273,Trend
2008-12-01,3.075052901954939,Trend
2009-01-01,3.075670292622848,Trend
2009-02-01,3.076287683290756,Trend
2009-03-01,3.076845326474674,Trend
2009-04-01,3.0774627171425823,Trend
2009-05-01,3.078060191982494,Trend
2009-06-01,3.078677582650403,Trend
2009-07-01,3.0792750574903143,Trend
2009-08-01,3.079892448158223,Trend
2009-09-01,3.080509838826132,Trend
2009-10-01,3.0811073136660436,Trend
2009-11-01,3.081724704333952,Trend
2009-12-01,3.0823221791738638,Trend
2010-01-01,3.0829395698417725,Trend
2010-02-01,3.083556960509681,Trend
2010-03-01,3.0841146036935987,Trend
2010-04-01,3.084731994361507,Trend
2010-05-01,3.085329469201419,Trend
2010-06-01,3.0859468598693276,Trend
2010-07-01,3.086544334709239,Trend
2010-08-01,3.0871617253771477,Trend
2010-09-01,3.0877791160450565,Trend
2010-10-01,3.088376590884968,Trend
2010-11-01,3.0889939815528766,Trend
2010-12-01,3.0895914563927884,Trend
2011-01-01,3.090208847060697,Trend
2011-02-01,3.0908262377286055,Trend
2011-03-01,3.0913838809125234,Trend
2011-04-01,3.0920012715804317,Trend
2011-05-01,3.0925987464203435,Trend
2011-06-01,3.0932161370882523,Trend
2011-07-01,3.0938136119281636,Trend
2011-08-01,3.0944310025960724,Trend
2011-09-01,3.095048393263981,Trend
2011-10-01,3.0956458681038925,Trend
2011-11-01,3.0962632587718013,Trend
2011-12-01,3.096860733611713,Trend
2012-01-01,3.097478124279622,Trend
2012-02-01,3.09809551494753,Trend
2012-03-01,3.098673073959445,Trend
2012-04-01,3.0992904646273534,Trend
2012-05-01,3.099887939467265,Trend
2012-06-01,3.100505330135174,Trend
2012-07-01,3.1011028049750853,Trend
2012-08-01,3.101720195642994,Trend
2012-09-01,3.102337586310903,Trend
2012-10-01,3.1029350611508146,Trend
2012-11-01,3.103552451818723,Trend
2012-12-01,3.1041499266586348,Trend
2013-01-01,3.1047673173265435,Trend
2013-02-01,3.105384707994452,Trend
2013-03-01,3.1059423511783697,Trend
2013-04-01,3.106559741846278,Trend
2013-05-01,3.10715721668619,Trend
2013-06-01,3.1077746073540986,Trend
2013-07-01,3.10837208219401,Trend
2013-08-01,3.1089894728619187,Trend
2013-09-01,3.1096068635298275,Trend
2013-10-01,3.110204338369739,Trend
2013-11-01,3.1108217290376476,Trend
2013-12-01,3.1114192038775594,Trend
2014-01-01,3.112036594545468,Trend
2014-02-01,3.1126539852133766,Trend
2014-03-01,3.1132116283972944,Trend
2014-04-01,3.1138290190652027,Trend
2014-05-01,3.1144264939051145,Trend
2014-06-01,3.1150438845730233,Trend
2014-07-01,3.1156413594129346,Trend
2014-08-01,3.1162587500808434,Trend
2014-09-01,3.116876140748752,Trend
2014-10-01,3.1174736155886635,Trend
2014-11-01,3.1180910062565723,Trend
2014-12-01,3.118688481096484,Trend
2015-01-01,3.1193058717643924,Trend
2015-02-01,3.1199232624323012,Trend
2015-03-01,3.120480905616219,Trend
2015-04-01,3.1210982962841274,Trend
2015-05-01,3.121695771124039,Trend
2015-06-01,3.122313161791948,Trend
2015-07-01,3.1229106366318593,Trend
2015-08-01,3.123528027299768,Trend
2015-09-01,3.124145417967677,Trend
2015-10-01,3.124742892807588,Trend
2015-11-01,3.125360283475497,Trend
2015-12-01,3.125957758315409,Trend
2016-01-01,3.126575148983317,Trend
2016-02-01,3.127192539651226,Trend
2016-03-01,3.1277700986631407,Trend
2016-04-01,3.128387489331049,Trend
2016-05-01,3.128984964170961,Trend
2016-06-01,3.1296023548388696,Trend
2016-07-01,3.130199829678781,Trend
2016-08-01,3.1308172203466897,Trend
2016-09-01,3.1314346110145985,Trend
2016-10-01,3.13203208585451,Trend
2016-11-01,3.1326494765224187,Trend
2016-12-01,3.1332469513623304,Trend
2017-01-01,3.133864342030239,Trend
2017-02-01,3.1344817326981476,Trend
2017-03-01,3.1350393758820654,Trend
2017-04-01,3.1356567665499737,Trend
2017-05-01,3.1362542413898855,Trend
2017-06-01,3.1368716320577943,Trend
2017-07-01,3.1374691068977056,Trend
2017-08-01,3.1380864975656144,Trend
2017-09-01,3.138703888233523,Trend
2017-10-01,3.1393013630734345,Trend
2017-11-01,3.1399187537413433,Trend
2017-12-01,3.140516228581255,Trend
2018-01-01,3.1411336192491635,Trend
2018-02-01,3.1417510099170722,Trend
2018-03-01,3.1423086531009896,Trend
2018-04-01,3.1429260437688984,Trend
2018-05-01,3.14352351860881,Trend
2018-06-01,3.144140909276719,Trend
2018-07-01,3.1447383841166303,Trend
2018-08-01,3.145355774784539,Trend
2018-09-01,3.145973165452448,Trend
2018-10-01,3.1465706402923592,Trend
2018-11-01,3.147188030960268,Trend
2018-12-01,3.14778550580018,Trend
2019-01-01,3.148402896468088,Trend
2019-02-01,3.149020287135997,Trend
2019-03-01,3.1495779303199143,Trend
2019-04-01,3.150195320987823,Trend
2019-05-01,3.150792795827735,Trend
2019-06-01,3.151410186495643,Trend
2019-07-01,3.152007661335555,Trend
2019-08-01,3.1526250520034638,Trend
2019-09-01,3.1532424426713725,Trend
2019-10-01,3.153839917511284,Trend
2019-11-01,3.1544573081791927,Trend
2019-12-01,3.1550547830191045,Trend
2020-01-01,3.155672173687013,Trend
2020-02-01,3.1562895643549216,Trend
2020-03-01,3.156867123366836,Trend
2020-04-01,3.1574845140347447,Trend
2020-05-01,3.1580819888746565,Trend
2020-06-01,3.1586993795425653,Trend
2020-07-01,3.1592968543824766,Trend
2020-08-01,3.1599142450503854,Trend
2020-09-01,3.160531635718294,Trend
2020-10-01,3.1611291105582056,Trend
2020-11-01,3.1617465012261143,Trend
2020-12-01,3.162343976066026,Trend
2021-01-01,3.1629613667339345,Trend
2021-02-01,3.1635787574018432,Trend
2021-03-01,3.1641364005857606,Trend
2021-04-01,3.1647537912536694,Trend
2021-05-01,3.165351266093581,Trend
2021-06-01,3.16596865676149,Trend
2021-07-01,3.1665661316014013,Trend
