datetime,stream_height,source
9/24/24 4:45,1.38,Nolichucky River (Embreeville)
9/24/24 5:00,1.37,Nolichucky River (Embreeville)
9/24/24 5:15,1.37,Nolichucky River (Embreeville)
9/24/24 5:30,1.36,Nolichucky River (Embreeville)
9/24/24 5:45,1.36,Nolichucky River (Embreeville)
9/24/24 6:00,1.36,Nolichucky River (Embreeville)
9/24/24 6:15,1.36,Nolichucky River (Embreeville)
9/24/24 6:30,1.36,Nolichucky River (Embreeville)
9/24/24 6:45,1.37,Nolichucky River (Embreeville)
9/24/24 7:00,1.37,Nolichucky River (Embreeville)
9/24/24 7:15,1.37,Nolichucky River (Embreeville)
9/24/24 7:30,1.37,Nolichucky River (Embreeville)
9/24/24 7:45,1.38,Nolichucky River (Embreeville)
9/24/24 8:00,1.38,Nolichucky River (Embreeville)
9/24/24 8:15,1.39,Nolichucky River (Embreeville)
9/24/24 8:30,1.4,Nolichucky River (Embreeville)
9/24/24 8:45,1.41,Nolichucky River (Embreeville)
9/24/24 9:00,1.42,Nolichucky River (Embreeville)
9/24/24 9:15,1.42,Nolichucky River (Embreeville)
9/24/24 9:30,1.43,Nolichucky River (Embreeville)
9/24/24 9:45,1.43,Nolichucky River (Embreeville)
9/24/24 10:00,1.43,Nolichucky River (Embreeville)
9/24/24 10:15,1.43,Nolichucky River (Embreeville)
9/24/24 10:30,1.44,Nolichucky River (Embreeville)
9/24/24 10:45,1.44,Nolichucky River (Embreeville)
9/24/24 11:00,1.44,Nolichucky River (Embreeville)
9/24/24 11:15,1.45,Nolichucky River (Embreeville)
9/24/24 11:30,1.45,Nolichucky River (Embreeville)
9/24/24 11:45,1.46,Nolichucky River (Embreeville)
9/24/24 12:00,1.46,Nolichucky River (Embreeville)
9/24/24 12:15,1.46,Nolichucky River (Embreeville)
9/24/24 12:30,1.46,Nolichucky River (Embreeville)
9/24/24 12:45,1.47,Nolichucky River (Embreeville)
9/24/24 13:00,1.47,Nolichucky River (Embreeville)
9/24/24 13:15,1.47,Nolichucky River (Embreeville)
9/24/24 13:30,1.47,Nolichucky River (Embreeville)
9/24/24 13:45,1.48,Nolichucky River (Embreeville)
9/24/24 14:00,1.48,Nolichucky River (Embreeville)
9/24/24 14:15,1.49,Nolichucky River (Embreeville)
9/24/24 14:30,1.5,Nolichucky River (Embreeville)
9/24/24 14:45,1.52,Nolichucky River (Embreeville)
9/24/24 15:00,1.53,Nolichucky River (Embreeville)
9/24/24 15:15,1.55,Nolichucky River (Embreeville)
9/24/24 15:30,1.57,Nolichucky River (Embreeville)
9/24/24 15:45,1.6,Nolichucky River (Embreeville)
9/24/24 16:00,1.61,Nolichucky River (Embreeville)
9/24/24 16:15,1.62,Nolichucky River (Embreeville)
9/24/24 16:30,1.63,Nolichucky River (Embreeville)
9/24/24 16:45,1.63,Nolichucky River (Embreeville)
9/24/24 17:00,1.63,Nolichucky River (Embreeville)
9/24/24 17:15,1.63,Nolichucky River (Embreeville)
9/24/24 17:30,1.63,Nolichucky River (Embreeville)
9/24/24 17:45,1.64,Nolichucky River (Embreeville)
9/24/24 18:00,1.64,Nolichucky River (Embreeville)
9/24/24 18:15,1.65,Nolichucky River (Embreeville)
9/24/24 18:30,1.65,Nolichucky River (Embreeville)
9/24/24 18:45,1.65,Nolichucky River (Embreeville)
9/24/24 19:00,1.65,Nolichucky River (Embreeville)
9/24/24 19:15,1.65,Nolichucky River (Embreeville)
9/24/24 19:30,1.64,Nolichucky River (Embreeville)
9/24/24 19:45,1.65,Nolichucky River (Embreeville)
9/24/24 20:00,1.64,Nolichucky River (Embreeville)
9/24/24 20:15,1.63,Nolichucky River (Embreeville)
9/24/24 20:30,1.63,Nolichucky River (Embreeville)
9/24/24 20:45,1.62,Nolichucky River (Embreeville)
9/24/24 21:00,1.62,Nolichucky River (Embreeville)
9/24/24 21:15,1.61,Nolichucky River (Embreeville)
9/24/24 21:30,1.61,Nolichucky River (Embreeville)
9/24/24 21:45,1.6,Nolichucky River (Embreeville)
9/24/24 22:00,1.6,Nolichucky River (Embreeville)
9/24/24 22:15,1.59,Nolichucky River (Embreeville)
9/24/24 22:30,1.59,Nolichucky River (Embreeville)
9/24/24 22:45,1.59,Nolichucky River (Embreeville)
9/24/24 23:00,1.58,Nolichucky River (Embreeville)
9/24/24 23:15,1.58,Nolichucky River (Embreeville)
9/24/24 23:30,1.57,Nolichucky River (Embreeville)
9/24/24 23:45,1.57,Nolichucky River (Embreeville)
9/25/24 0:00,1.57,Nolichucky River (Embreeville)
9/25/24 0:15,1.57,Nolichucky River (Embreeville)
9/25/24 0:30,1.57,Nolichucky River (Embreeville)
9/25/24 0:45,1.63,Nolichucky River (Embreeville)
9/25/24 1:00,1.66,Nolichucky River (Embreeville)
9/25/24 1:15,1.67,Nolichucky River (Embreeville)
9/25/24 1:30,1.69,Nolichucky River (Embreeville)
9/25/24 1:45,1.72,Nolichucky River (Embreeville)
9/25/24 2:00,1.72,Nolichucky River (Embreeville)
9/25/24 2:15,1.73,Nolichucky River (Embreeville)
9/25/24 2:30,1.74,Nolichucky River (Embreeville)
9/25/24 2:45,1.76,Nolichucky River (Embreeville)
9/25/24 3:00,1.78,Nolichucky River (Embreeville)
9/25/24 3:15,1.82,Nolichucky River (Embreeville)
9/25/24 3:30,1.85,Nolichucky River (Embreeville)
9/25/24 3:45,1.88,Nolichucky River (Embreeville)
9/25/24 4:00,1.9,Nolichucky River (Embreeville)
9/25/24 4:15,1.91,Nolichucky River (Embreeville)
9/25/24 4:30,1.93,Nolichucky River (Embreeville)
9/25/24 4:45,1.93,Nolichucky River (Embreeville)
9/25/24 5:00,1.93,Nolichucky River (Embreeville)
9/25/24 5:15,1.94,Nolichucky River (Embreeville)
9/25/24 5:30,1.95,Nolichucky River (Embreeville)
9/25/24 5:45,1.96,Nolichucky River (Embreeville)
9/25/24 6:00,1.96,Nolichucky River (Embreeville)
9/25/24 6:15,1.99,Nolichucky River (Embreeville)
9/25/24 6:30,2.01,Nolichucky River (Embreeville)
9/25/24 6:45,2.04,Nolichucky River (Embreeville)
9/25/24 7:00,2.07,Nolichucky River (Embreeville)
9/25/24 7:15,2.12,Nolichucky River (Embreeville)
9/25/24 7:30,2.18,Nolichucky River (Embreeville)
9/25/24 7:45,2.19,Nolichucky River (Embreeville)
9/25/24 8:00,2.21,Nolichucky River (Embreeville)
9/25/24 8:15,2.22,Nolichucky River (Embreeville)
9/25/24 8:30,2.23,Nolichucky River (Embreeville)
9/25/24 8:45,2.23,Nolichucky River (Embreeville)
9/25/24 9:00,2.23,Nolichucky River (Embreeville)
9/25/24 9:15,2.24,Nolichucky River (Embreeville)
9/25/24 9:30,2.24,Nolichucky River (Embreeville)
9/25/24 9:45,2.22,Nolichucky River (Embreeville)
9/25/24 10:00,2.21,Nolichucky River (Embreeville)
9/25/24 10:15,2.18,Nolichucky River (Embreeville)
9/25/24 10:30,2.18,Nolichucky River (Embreeville)
9/25/24 10:45,2.17,Nolichucky River (Embreeville)
9/25/24 11:00,2.16,Nolichucky River (Embreeville)
9/25/24 11:15,2.15,Nolichucky River (Embreeville)
9/25/24 11:30,2.14,Nolichucky River (Embreeville)
9/25/24 11:45,2.13,Nolichucky River (Embreeville)
9/25/24 12:00,2.12,Nolichucky River (Embreeville)
9/25/24 12:15,2.1,Nolichucky River (Embreeville)
9/25/24 12:30,2.1,Nolichucky River (Embreeville)
9/25/24 12:45,2.09,Nolichucky River (Embreeville)
9/25/24 13:00,2.07,Nolichucky River (Embreeville)
9/25/24 13:15,2.06,Nolichucky River (Embreeville)
9/25/24 13:30,2.05,Nolichucky River (Embreeville)
9/25/24 13:45,2.03,Nolichucky River (Embreeville)
9/25/24 14:00,2.02,Nolichucky River (Embreeville)
9/25/24 14:15,2.01,Nolichucky River (Embreeville)
9/25/24 14:30,2,Nolichucky River (Embreeville)
9/25/24 14:45,1.98,Nolichucky River (Embreeville)
9/25/24 15:00,1.97,Nolichucky River (Embreeville)
9/25/24 15:15,1.96,Nolichucky River (Embreeville)
9/25/24 15:30,1.95,Nolichucky River (Embreeville)
9/25/24 15:45,1.94,Nolichucky River (Embreeville)
9/25/24 16:00,1.93,Nolichucky River (Embreeville)
9/25/24 16:15,1.92,Nolichucky River (Embreeville)
9/25/24 16:30,1.92,Nolichucky River (Embreeville)
9/25/24 16:45,1.92,Nolichucky River (Embreeville)
9/25/24 17:00,1.93,Nolichucky River (Embreeville)
9/25/24 17:15,1.94,Nolichucky River (Embreeville)
9/25/24 17:30,1.96,Nolichucky River (Embreeville)
9/25/24 17:45,1.97,Nolichucky River (Embreeville)
9/25/24 18:00,1.98,Nolichucky River (Embreeville)
9/25/24 18:15,2.01,Nolichucky River (Embreeville)
9/25/24 18:30,2.09,Nolichucky River (Embreeville)
9/25/24 18:45,2.19,Nolichucky River (Embreeville)
9/25/24 19:00,2.26,Nolichucky River (Embreeville)
9/25/24 19:15,2.3,Nolichucky River (Embreeville)
9/25/24 19:30,2.33,Nolichucky River (Embreeville)
9/25/24 19:45,2.35,Nolichucky River (Embreeville)
9/25/24 20:00,2.37,Nolichucky River (Embreeville)
9/25/24 20:15,2.38,Nolichucky River (Embreeville)
9/25/24 20:30,2.43,Nolichucky River (Embreeville)
9/25/24 20:45,2.48,Nolichucky River (Embreeville)
9/25/24 21:00,2.54,Nolichucky River (Embreeville)
9/25/24 21:15,2.6,Nolichucky River (Embreeville)
9/25/24 21:30,2.65,Nolichucky River (Embreeville)
9/25/24 21:45,2.68,Nolichucky River (Embreeville)
9/25/24 22:00,2.72,Nolichucky River (Embreeville)
9/25/24 22:15,2.77,Nolichucky River (Embreeville)
9/25/24 22:30,2.89,Nolichucky River (Embreeville)
9/25/24 22:45,3.03,Nolichucky River (Embreeville)
9/25/24 23:00,3.14,Nolichucky River (Embreeville)
9/25/24 23:15,3.2,Nolichucky River (Embreeville)
9/25/24 23:30,3.26,Nolichucky River (Embreeville)
9/25/24 23:45,3.31,Nolichucky River (Embreeville)
9/26/24 0:00,3.35,Nolichucky River (Embreeville)
9/26/24 0:15,3.37,Nolichucky River (Embreeville)
9/26/24 0:30,3.41,Nolichucky River (Embreeville)
9/26/24 0:45,3.42,Nolichucky River (Embreeville)
9/26/24 1:00,3.44,Nolichucky River (Embreeville)
9/26/24 1:15,3.43,Nolichucky River (Embreeville)
9/26/24 1:30,3.46,Nolichucky River (Embreeville)
9/26/24 1:45,3.47,Nolichucky River (Embreeville)
9/26/24 2:00,3.53,Nolichucky River (Embreeville)
9/26/24 2:15,3.58,Nolichucky River (Embreeville)
9/26/24 2:30,3.61,Nolichucky River (Embreeville)
9/26/24 2:45,3.64,Nolichucky River (Embreeville)
9/26/24 3:00,3.65,Nolichucky River (Embreeville)
9/26/24 3:15,3.69,Nolichucky River (Embreeville)
9/26/24 3:30,4.06,Nolichucky River (Embreeville)
9/26/24 3:45,5.01,Nolichucky River (Embreeville)
9/26/24 4:00,5.72,Nolichucky River (Embreeville)
9/26/24 4:15,6.18,Nolichucky River (Embreeville)
9/26/24 4:30,6.49,Nolichucky River (Embreeville)
9/26/24 4:45,6.78,Nolichucky River (Embreeville)
9/26/24 5:00,7.16,Nolichucky River (Embreeville)
