Date,fluxdata,source
9/1/1995,48.1345024,Flux
10/1/1995,35.3903694,Flux
11/1/1995,18.2314281,Flux
12/1/1995,23.9206715,Flux
1/1/1996,23.3901634,Flux
2/1/1996,33.4804993,Flux
3/1/1996,52.2849083,Flux
4/1/1996,52.8483238,Flux
5/1/1996,70.7967911,Flux
6/1/1996,58.4324608,Flux
7/1/1996,81.0999374,Flux
8/1/1996,45.7929764,Flux
9/1/1996,39.4040184,Flux
10/1/1996,36.2960739,Flux
11/1/1996,22.8627758,Flux
12/1/1996,20.2528763,Flux
1/1/1997,17.7943535,Flux
2/1/1997,25.3009014,Flux
3/1/1997,33.7181396,Flux
4/1/1997,38.7893715,Flux
5/1/1997,46.0235786,Flux
6/1/1997,47.0763321,Flux
7/1/1997,64.7521362,Flux
8/1/1997,70.0291519,Flux
9/1/1997,59.9834175,Flux
10/1/1997,29.5811443,Flux
11/1/1997,20.0705357,Flux
12/1/1997,20.9291039,Flux
1/1/1998,18.2758064,Flux
2/1/1998,25.6073875,Flux
3/1/1998,42.9537926,Flux
4/1/1998,53.2379608,Flux
5/1/1998,80.9591141,Flux
6/1/1998,109.867188,Flux
7/1/1998,109.933411,Flux
8/1/1998,67.7901154,Flux
9/1/1998,49.5966148,Flux
10/1/1998,27.9888992,Flux
11/1/1998,18.4061565,Flux
12/1/1998,21.5291805,Flux
1/1/1999,21.245697,Flux
2/1/1999,32.7620277,Flux
3/1/1999,40.4562492,Flux
4/1/1999,42.677536,Flux
5/1/1999,52.5930099,Flux
6/1/1999,43.4133263,Flux
7/1/1999,48.5756111,Flux
8/1/1999,96.1927567,Flux
9/1/1999,77.3919754,Flux
10/1/1999,51.903862,Flux
11/1/1999,33.2508659,Flux
12/1/1999,21.3529873,Flux
1/1/2000,26.2490673,Flux
2/1/2000,33.1451263,Flux
3/1/2000,47.4770241,Flux
4/1/2000,52.1687202,Flux
5/1/2000,56.4780464,Flux
6/1/2000,52.3107796,Flux
7/1/2000,107.151932,Flux
8/1/2000,105.84684,Flux
9/1/2000,83.0824127,Flux
10/1/2000,38.9180069,Flux
11/1/2000,18.0033951,Flux
12/1/2000,25.32131,Flux
1/1/2001,19.2616158,Flux
2/1/2001,31.4547901,Flux
3/1/2001,35.378437,Flux
