datetime,stage,source
05/26,49.56,Mississippi River at Vicksburg
05/27,49.45,Mississippi River at Vicksburg
05/28,49.25,Mississippi River at Vicksburg
05/29,49.3,Mississippi River at Vicksburg
05/30,49.2,Mississippi River at Vicksburg
05/31,49.21,Mississippi River at Vicksburg
06/01,49.17,Mississippi River at Vicksburg
06/02,49.19,Mississippi River at Vicksburg
06/03,49.21,Mississippi River at Vicksburg
06/04,49.24,Mississippi River at Vicksburg
06/05,49.43,Mississippi River at Vicksburg
06/06,49.46,Mississippi River at Vicksburg
06/07,49.73,Mississippi River at Vicksburg
06/08,49.85,Mississippi River at Vicksburg
06/09,49.92,Mississippi River at Vicksburg
06/10,50.1,Mississippi River at Vicksburg
06/11,50.25,Mississippi River at Vicksburg
06/12,50.34,Mississippi River at Vicksburg
06/13,50.23,Mississippi River at Vicksburg
06/14,50.3,Mississippi River at Vicksburg
06/15,50.17,Mississippi River at Vicksburg
06/16,50.07,Mississippi River at Vicksburg
06/17,49.94,Mississippi River at Vicksburg
06/18,49.8,Mississippi River at Vicksburg
06/19,49.64,Mississippi River at Vicksburg
06/20,49.38,Mississippi River at Vicksburg
06/21,49.2,Mississippi River at Vicksburg
06/22,49.2,Mississippi River at Vicksburg
06/23,49.02,Mississippi River at Vicksburg
06/24,48.89,Mississippi River at Vicksburg
06/25,48.94,Mississippi River at Vicksburg
06/26,48.83,Mississippi River at Vicksburg
06/27,48.74,Mississippi River at Vicksburg
06/28,48.74,Mississippi River at Vicksburg
06/29,48.98,Mississippi River at Vicksburg
06/30,49.06,Mississippi River at Vicksburg
07/01,49.25,Mississippi River at Vicksburg
07/02,49.41,Mississippi River at Vicksburg
07/03,49.36,Mississippi River at Vicksburg
07/04,49.49,Mississippi River at Vicksburg
07/05,49.53,Mississippi River at Vicksburg
07/06,49.6,Mississippi River at Vicksburg
07/07,49.52,Mississippi River at Vicksburg
07/08,49.59,Mississippi River at Vicksburg
07/09,49.59,Mississippi River at Vicksburg
07/10,49.55,Mississippi River at Vicksburg
07/11,49.52,Mississippi River at Vicksburg
07/12,49.44,Mississippi River at Vicksburg
